1-BEDROOM,Off-Market,,,
#2A,"Sold on 04/23/2007 for $1,654,656",,,
#2B,"Sold on 06/03/2014 for $1,865,000",2 beds,2.5 baths,"1,750 ftsq"
#2C,"Sold on 02/17/2017 for $1,199,000",2 beds,1.5 baths,"1,100 ftsq"
#2D,"Off-Market on 01/20/2011 at $1,595,000",2 beds,2.5 baths,"1,682 ftsq"
#2E,"Sold on 08/22/2014 for $2,530,000",3 beds,3.5 baths,"1,991 ftsq"
#2F,"Sold on 11/20/2015 for $1,825,000",1 bed,2 baths,"1,868 ftsq"
#2BFURN,"Off-Market on 05/27/2009 at $7,500",2 beds,2.5 baths,"1,750 ftsq"
#3A,"Off-Market on 01/05/2012 at $1,699,000",2 beds,2.5 baths,"2,066 ftsq"
#3B,"Off-Market on 07/29/2013 at $1,735,000",2 beds,2.5 baths,"1,747 ftsq"
#3C,"Sold on 10/25/2016 for $1,260,000",1 bed,1.5 baths,"1,089 ftsq"
#3D,"Sold on 04/26/2007 for $1,598,652",,,
#3E,"Sold on 12/30/2009 for $1,570,000",3 beds,3.5 baths,"1,991 ftsq"
#3F,"Sold on 09/20/2013 for $1,480,000",2 beds,2 baths,"1,868 ftsq"
#4A,"Off-Market on 09/30/2016 at $13,000",3 beds,3 baths,"1,698 ftsq"
#4B,"Sold on 08/20/2018 for $2,150,000",2 beds,2.5 baths,"1,404 ftsq"
#4C,"Sold on 12/18/2006 for $1,030,978",,,
#4D,Sold on 08/17/2010 for $0,1 bed,1.5 baths,875 ftsq
#4E,"Off-Market on 06/26/2018 at $14,500",5 beds,5 baths,"2,866 ftsq"
#4F,"Listed for sale at $2,385,000",4 beds,4.5 baths,"2,385 ftsq"
#4G,"Sold on 12/19/2018 for $1,248,000",2 beds,2 baths,"1,190 ftsq"
#5,"Off-Market on 08/27/2009 at $899,000",2 beds,2 baths,"1,200 ftsq"
#D,"Off-Market on 01/15/2014 at $950,000",1 bed,1 bath,875 ftsq
#5A,"Sold on 04/17/2015 for $1,995,000",3 beds,3 baths,"1,698 ftsq"
#5B,"Sold on 12/14/2006 for $1,303,360",,,
#5C,"Sold on 07/17/2012 for $980,000",2 beds,2 baths,"1,150 ftsq"
#5D,"Off-Market on 03/15/2018 at $4,100",1 bed,1.5 baths,875 ftsq
#5E,"Sold on 12/04/2006 for $1,910,000",,,
#5F,"Off-Market on 10/18/2018 at $2,500,000",4 beds,4.5 baths,"2,385 ftsq"
#5G,"Sold on 11/25/2009 for $886,000",2 beds,2 baths,"1,190 ftsq"
#6A,"Off-Market on 03/09/2017 at $7,200",3 beds,3 baths,"1,700 ftsq"
#6B,"Sold on 04/17/2017 for $1,888,000",2 beds,2.5 baths,"1,404 ftsq"
#6C,"Sold on 12/14/2006 for $1,005,521",,,
#6D,"Off-Market on 12/07/2017 at $4,000",1 bed,1.5 baths,875 ftsq
#6E,"Off-Market on 09/18/2018 at $9,800",3 beds,3.5 baths,"2,000 ftsq"
#6F,"Sold on 10/04/2011 for $1,975,000",4 beds,4.5 baths,"2,385 ftsq"
#6G,"Off-Market on 08/21/2018 at $5,650",2 beds,2 baths,"1,190 ftsq"
#7A,"Sold on 12/06/2006 for $1,456,097",,,
#7B,"Sold on 03/28/2014 for $1,713,000",2 beds,2.5 baths,"1,404 ftsq"
#7C,"Sold on 08/16/2018 for $1,510,000",2 beds,2 baths,"1,150 ftsq"
#7D,"Off-Market on 03/15/2016 at $4,150",1 bed,1.5 baths,875 ftsq
#F4,Off-Market,,,"2,385 ftsq"
#7E,Sold on 07/27/2018 for $0,3 beds,3.5 baths,"1,991 ftsq"
#7F,"Sold on 10/15/2013 for $2,300,000",4 beds,4.5 baths,"2,385 ftsq"
#7G,"Off-Market on 01/31/2018 at $1,450,000",2 beds,2 baths,"1,200 ftsq"
#8A,"Sold on 12/26/2006 for $1,451,000",,,
#8B,"Sold on 03/28/2012 for $1,250,000",2 beds,2.5 baths,"1,404 ftsq"
#8C,"Off-Market on 08/12/2010 at $4,200",2 beds,2 baths,"1,150 ftsq"
#8D,"Off-Market on 06/16/2012 at $3,350",1 bed,1 bath,875 ftsq
#8E,"Sold on 12/06/2006 for $1,501,918",,,
#8F,"Sold on 04/29/2008 for $2,650,000",3 beds,3.5 baths,"2,100 ftsq"
#8G,"Sold on 02/07/2018 for $1,250,000",2 beds,2 baths,"1,190 ftsq"
#9A,Sold on 07/13/2015 for $0,3 beds,3 baths,"1,698 ftsq"
#9B,"Off-Market on 02/02/2017 at $2,050,000",2 beds,2.5 baths,"1,404 ftsq"
#9C,"Sold on 12/29/2006 for $1,010,000",,,
#9D,"Sold on 02/15/2007 for $780,000",,,
#9E,"Off-Market on 10/22/2018 at $7,600",2 beds,2.5 baths,"1,526 ftsq"
#9F,"Listed for rent at $10,500",3 beds,3.5 baths,"2,097 ftsq"
#9G,"Sold on 12/28/2006 for $974,974",,,
#10A,"Sold on 07/27/2018 for $2,000,000",3 beds,3 baths,"1,698 ftsq"
#10B,"Sold on 03/08/2018 for $1,775,000",2 beds,2.5 baths,"1,404 ftsq"
#10C,"Off-Market on 06/16/2016 at $5,850",2 beds,2 baths,"1,150 ftsq"
#10D,"Sold on 12/07/2015 for $974,000",1 bed,1.5 baths,
#10E,"Sold on 12/15/2006 for $1,593,561",,,
#10F,"Sold on 12/15/2006 for $1,841,000",,,
#10G,"Sold on 02/16/2018 for $1,320,000",2 beds,2 baths,"1,190 ftsq"
#11,Off-Market,studio,2+ baths,"1,400 ftsq"
#11A,"Off-Market on 08/09/2016 at $8,095",3 beds,3 baths,"1,698 ftsq"
#11B,"Off-Market on 04/29/2015 at $7,000",2 beds,2.5 baths,"1,404 ftsq"
#11C,"Off-Market on 08/06/2018 at $5,975",2 beds,2 baths,"1,150 ftsq"
#11D,"Sold on 08/25/2015 for $995,000",1 bed,1 bath,875 ftsq
#11F,"Sold on 10/29/2010 for $1,810,000",,,
#11G,"Off-Market on 05/29/2018 at $5,500",2 beds,2 baths,"1,190 ftsq"
#12A,"Sold on 02/07/2007 for $1,577,269",,,
#12B,"Sold on 06/29/2017 for $1,945,000",2 beds,2.5 baths,"1,404 ftsq"
#12C,"Sold on 12/21/2006 for $1,052,500",,,
#12D,"Off-Market on 03/18/2016 at $3,995",1 bed,1.5 baths,875 ftsq
#12E,"Off-Market on 08/15/2014 at $7,350",2 beds,2.5 baths,"1,526 ftsq"
#12F,"Off-Market on 08/06/2018 at $10,900",3 beds,3.5 baths,"2,097 ftsq"
#12G,"Sold on 07/21/2015 for $1,325,000",2 beds,2 baths,"1,190 ftsq"
#12EE,"Off-Market on 02/02/2009 at $6,000",2 beds,2.5 baths,"1,526 ftsq"
#14A,"Sold on 07/06/2015 for $2,500,000",3 beds,3 baths,"1,700 ftsq"
#14B,"Off-Market on 06/04/2018 at $7,450",2 beds,2.5 baths,"1,404 ftsq"
#14C,Sold on 12/08/2016 for $0,,,
