#2BD,"Off-Market on 10/11/2013 at $5,200",2 beds,2 baths,
#3BED,"Off-Market on 12/03/2013 at $8,200",3 beds,2 baths,
#5,"Off-Market on 08/15/2013 at $3,700",1 bed,1 bath,700 ftsq
#5E,"Off-Market on 04/10/2007 at $3,545",1 bed,1 bath,
#5P,"Off-Market on 10/25/2013 at $3,540",2 beds,1 bath,803 ftsq
#5V,"Off-Market on 04/10/2007 at $3,550",1 bed,1 bath,691 ftsq
#12,"Off-Market on 12/09/2013 at $3,500",2 beds,1 bath,
#12A,"Off-Market on 12/23/2013 at $3,195",1 bed,1 bath,
#17,"Off-Market on 10/25/2013 at $6,300",2 beds,2 baths,"1,000 ftsq"
#18,"Off-Market on 09/10/2013 at $5,295",2 beds,2 baths,"1,100 ftsq"
#18A,"Off-Market on 02/16/2014 at $5,500",2 beds,2 baths,
#22,"Off-Market on 10/09/2013 at $5,200",3 beds,2 baths,"1,200 ftsq"
#22N,"Off-Market on 10/29/2013 at $5,490",2 beds,2 baths,"1,000 ftsq"
#29,"Off-Market on 05/09/2011 at $5,100",2 beds,2 baths,"1,125 ftsq"
#30,"Off-Market on 01/21/2013 at $5,450",2 beds,2 baths,"1,200 ftsq"
#30C,"Off-Market on 12/09/2013 at $5,750",3 beds,2 baths,"1,120 ftsq"
#101,"Off-Market on 07/10/2015 at $4,200",1 bed,1 bath,
#102,"Off-Market on 12/30/2010 at $3,258",1 bed,1 bath,850 ftsq
#201,"Off-Market on 04/20/2018 at $4,714",1 bed,2 baths,
#202,"Off-Market on 07/14/2017 at $3,500",studio,1 bath,700 ftsq
#203,"Off-Market on 08/11/2015 at $4,250",1 bed,1 bath,
#204,"Off-Market on 07/26/2016 at $4,600",1 bed,1 bath,
#301,"Off-Market on 02/19/2013 at $3,757",1 bed,1 bath,"1,200 ftsq"
#302,"Off-Market on 02/21/2018 at $2,914",1 bed,1 bath,630 ftsq
#304,"Off-Market on 09/02/2016 at $3,550",studio,1 bath,
#305,"Off-Market on 03/27/2018 at $3,759",1 bed,1 bath,825 ftsq
#306,"Off-Market on 08/30/2013 at $5,530",2 beds,2 baths,"1,100 ftsq"
#307,"Off-Market on 12/21/2012 at $3,300",1 bed,1 bath,650 ftsq
#308,"Off-Market on 01/31/2018 at $5,400",3 beds,2 baths,"1,200 ftsq"
#324,"Off-Market on 03/12/2010 at $4,500",2 beds,2 baths,"1,100 ftsq"
#401,"Off-Market on 09/13/2013 at $3,895",studio,1 bath,"1,135 ftsq"
#403,"Off-Market on 08/12/2014 at $3,175",studio,1 bath,
#404,"Off-Market on 07/28/2016 at $3,500",studio,1 bath,
#406,"Off-Market on 03/17/2017 at $6,500",2 beds,2 baths,"1,200 ftsq"
#407,"Listed for rent at $3,891",1 bed,1 bath,
#408,"Off-Market on 08/19/2016 at $6,450",2 beds,2 baths,
#501,"Off-Market on 12/09/2017 at $3,771",studio,1 bath,
#502,"Listed for rent at $3,462",studio,1 bath,
#503,"Off-Market on 07/14/2017 at $3,200",studio,1 bath,
#504,"Off-Market on 06/13/2017 at $3,800",studio,1 bath,
#505,"Off-Market on 11/10/2017 at $4,016",1 bed,1 bath,825 ftsq
#507,Off-Market,,,640 ftsq
#508,"Off-Market on 05/12/2017 at $6,400",2 beds,2 baths,
#601,"Off-Market on 03/22/2016 at $3,692",studio,1 bath,
#605,"Off-Market on 07/14/2015 at $4,575",1 bed,1 bath,
#606,"Off-Market on 03/24/2017 at $6,800",2 beds,2 baths,
#607,"Off-Market on 12/06/2016 at $3,795",1 bed,1 bath,
#701,"Off-Market on 12/02/2011 at $3,600",1 bed,1 bath,
#702,"Off-Market on 06/09/2015 at $3,885",1 bed,1 bath,580 ftsq
#704,"Off-Market on 04/07/2018 at $5,314",2 beds,2 baths,
#705,"Off-Market on 03/23/2018 at $5,327",2 beds,2 baths,
#803,"Off-Market on 08/09/2016 at $6,300",2 beds,2 baths,
#804,"Off-Market on 05/15/2015 at $5,700",2 beds,2 baths,960 ftsq
#805,"Off-Market on 10/17/2017 at $5,600",2 beds,2 baths,
#808,"Listed for rent at $3,554",studio,1 bath,755 ftsq
#903,"Off-Market on 01/27/2012 at $5,250",2 beds,2 baths,
#904,"Off-Market on 03/17/2017 at $5,600",2 beds,2 baths,
#905,"Off-Market on 11/18/2013 at $4,965",2 beds,2 baths,
#908,"Off-Market on 08/31/2018 at $3,975",studio,1 bath,755 ftsq
NA_10439,Off-Market,,,
NA_10459,Off-Market,,,
NA_13703,Off-Market,,,
NA_18529,Off-Market,,,
NA_19703,Off-Market,,,
#1003,"Off-Market on 05/26/2017 at $6,800",2 beds,2 baths,
NA_30758,Off-Market,,,
#1004,"Listed for rent at $5,954",2 beds,2 baths,
#1005,"Off-Market on 05/26/2017 at $6,000",2 beds,2 baths,980 ftsq
NA_53044,Off-Market,,,
NA_61938,Off-Market,,,
NA_76391,Off-Market,,,
#1008,"Off-Market on 10/13/2017 at $3,600",studio,1 bath,755 ftsq
NA_85553,Off-Market,,,
NA_96959,Off-Market,,,
NA_143950,Off-Market,,,
NA_143951,Off-Market,,,
NA_149173,Off-Market,,,
NA_149527,Off-Market,,,
#1104,"Off-Market on 03/06/2015 at $5,500",2 beds,2 baths,
#1105,"Off-Market on 07/13/2018 at $6,080",2 beds,2 baths,
#1107,"Off-Market on 01/14/2011 at $2,945",1 bed,1 bath,590 ftsq
#1114,"Off-Market on 01/21/2011 at $2,945",1 bed,1 bath,590 ftsq
#1115,"Off-Market on 01/21/2011 at $3,535",1 bed,1 bath,825 ftsq
#1121,"Off-Market on 01/21/2013 at $3,450",1 bed,1 bath,677 ftsq
#1128,"Off-Market on 02/04/2011 at $2,945",1 bed,1 bath,590 ftsq
#1129,"Off-Market on 01/28/2013 at $3,500",1 bed,1 bath,668 ftsq
#1203,"Off-Market on 08/09/2013 at $5,985",2 beds,2 baths,"1,140 ftsq"
#1204,"Off-Market on 07/07/2017 at $6,000",2 beds,2 baths,940 ftsq
#1205,"Off-Market on 03/04/2016 at $5,331",2 beds,2 baths,980 ftsq
#1208,"Off-Market on 07/16/2013 at $3,000",1 bed,1 bath,720 ftsq
#1218,"Off-Market on 01/28/2010 at $3,935",2 beds,2 baths,940 ftsq
#1221,"Off-Market on 01/21/2013 at $5,550",2 beds,2 baths,"1,096 ftsq"
#1226,"Off-Market on 02/04/2010 at $4,165",2 beds,2 baths,940 ftsq
#1229,"Off-Market on 01/28/2013 at $5,655",2 beds,2 baths,"1,123 ftsq"
#1403,"Off-Market on 01/26/2016 at $5,815",2 beds,2 baths,"1,100 ftsq"
#1404,"Off-Market on 02/26/2014 at $5,199",2 beds,2 baths,
#1407,"Off-Market on 08/19/2013 at $5,240",3 beds,2 baths,"1,060 ftsq"
#1408,"Off-Market on 04/19/2013 at $3,150",studio,1 bath,
#1501,"Off-Market on 02/17/2017 at $3,800",1 bed,1 bath,680 ftsq
#1502,"Off-Market on 06/28/2016 at $3,700",1 bed,1 bath,590 ftsq
#1505,"Off-Market on 07/06/2018 at $5,617",2 beds,2 baths,
#1508,"Off-Market on 09/14/2018 at $4,050",1 bed,1 bath,730 ftsq
#1605,"Off-Market on 05/08/2015 at $3,500",1 bed,1 bath,
#1606,"Off-Market on 11/28/2017 at $5,743",2 beds,2 baths,"1,140 ftsq"
#1607,"Off-Market on 05/04/2018 at $5,314",2 beds,2 baths,"1,175 ftsq"
#1608,"Off-Market on 06/21/2016 at $5,900",2 beds,2 baths,
#1702,"Off-Market on 02/04/2014 at $4,075",1 bed,1 bath,
#1704,"Off-Market on 04/20/2018 at $5,957",2 beds,2 baths,
#1705,"Off-Market on 03/13/2018 at $3,664",1 bed,1 bath,
#1707,"Off-Market on 04/28/2017 at $4,150",1 bed,1 bath,690 ftsq
#1804,"Off-Market on 02/12/2016 at $5,631",2 beds,2 baths,
#1805,"Off-Market on 09/27/2013 at $5,300",3 beds,2 baths,
#1806,"Off-Market on 06/17/2016 at $6,785",2 beds,2 baths,
#1807,"Off-Market on 05/30/2018 at $4,085",1 bed,1 bath,
#1808,"Off-Market on 10/23/2012 at $5,550",2 beds,2 baths,"1,081 ftsq"
#1902,"Off-Market on 07/10/2018 at $4,650",1 bed,1 bath,
#1904,"Off-Market on 03/21/2014 at $6,000",2 beds,2 baths,
#1905,"Off-Market on 01/22/2016 at $3,900",1 bed,1 bath,700 ftsq
#1906,"Off-Market on 10/17/2017 at $6,900",2 beds,2 baths,"1,170 ftsq"
#1907,"Off-Market on 11/06/2018 at $4,400",1 bed,1 bath,
#1908,"Off-Market on 06/07/2016 at $6,095",2 beds,2 baths,
#2004,"Off-Market on 02/12/2010 at $2,300",studio,1 bath,555 ftsq
#2005,"Off-Market on 02/14/2017 at $4,085",1 bed,1 bath,700 ftsq
