#1AB,"Off-Market on 05/05/2009 at $5,900",2 beds,2 baths,"1,700 ftsq"
#1C,"Off-Market on 07/21/2018 at $4,000",1 bed,1 bath,688 ftsq
#1D,"Off-Market on 09/08/2017 at $6,500",2 beds,2 baths,"1,215 ftsq"
#1ABC,"Off-Market on 09/26/2006 at $2,990,000",4 beds,3 baths,"3,000 ftsq"
#1CC,"Off-Market on 07/27/2018 at $4,000",1 bed,1 bath,
#2A,"Sold on 01/10/2005 for $562,000",,,840 ftsq
#2B,"Sold on 09/10/1998 for $180,000",,,671 ftsq
#2C,"Sold on 11/03/2015 for $767,000",1 bed,1 bath,700 ftsq
#2D,Sold on 03/24/2017 for $0,,,"1,215 ftsq"
#2E,"Listed for sale at $699,000",1 bed,1 bath,679 ftsq
#2F,"Off-Market on 08/01/2018 at $759,000",1 bed,1 bath,755 ftsq
#2G,"Sold on 08/11/2014 for $599,000",1 bed,1 bath,773 ftsq
#2H,"Off-Market on 09/15/2016 at $3,330",1 bed,1 bath,770 ftsq
#2K,"Sold on 11/03/2017 for $704,000",1 bed,1 bath,710 ftsq
#3,"Sold on 09/23/1999 for $249,000",,,833 ftsq
#3A,"Sold on 12/29/1995 for $129,000",,,840 ftsq
#3B,"Off-Market on 03/24/2018 at $3,000",1 bed,1 bath,670 ftsq
#3C,"Off-Market on 08/17/2014 at $2,750",1 bed,1 bath,688 ftsq
#3D,Sold on 11/07/2012 for $0,,,"1,168 ftsq"
#3F,"Off-Market on 05/15/2013 at $2,995",1 bed,1 bath,750 ftsq
#3G,"Sold on 10/27/1998 for $185,000",,,734 ftsq
#3H,"Off-Market on 04/25/2017 at $3,750",1 bed,1 bath,729 ftsq
#3I,"Sold on 04/25/2016 for $756,700",1 bed,1 bath,751 ftsq
#3J,"Sold on 05/15/2018 for $825,000",1 bed,1 bath,660 ftsq
#3K,"Sold on 08/31/2001 for $259,000",,,663 ftsq
#3L,"Sold on 10/19/2016 for $595,000",1 bed,1 bath,636 ftsq
#3M,"Off-Market on 07/12/2018 at $815,000",1 bed,1 bath,756 ftsq
#3N,"Sold on 07/01/1997 for $210,000",,,830 ftsq
#3P,"Sold on 11/08/2016 for $965,000",2 beds,1 bath,833 ftsq
#3R,"Off-Market on 05/05/2018 at $4,275",1 bed,1 bath,814 ftsq
#4,"Sold on 11/20/1998 for $170,000",,,833 ftsq
#4A,"Sold on 02/24/2005 for $145,000",,,840 ftsq
#4B,"Sold on 05/21/2014 for $585,000",1 bed,1 bath,761 ftsq
#4C,"Off-Market on 08/12/2016 at $3,400",1 bed,1 bath,704 ftsq
#4D,Sold on 09/07/2009 for $0,,,"1,168 ftsq"
#4F,"Sold on 09/17/1998 for $225,000",,,713 ftsq
#4G,"Sold on 04/29/2013 for $860,000",2 beds,2 baths,"1,500 ftsq"
#4H,Sold on 04/29/2013 for $0,,,729 ftsq
#4I,"Sold on 07/24/2017 for $850,000",1 bed,1 bath,750 ftsq
#4J,"Off-Market on 11/14/2017 at $3,030",1 bed,1 bath,660 ftsq
#4K,"Off-Market on 06/02/2009 at $2,200",1 bed,1 bath,663 ftsq
#4L,"Off-Market on 03/16/2012 at $2,545",1 bed,1 bath,700 ftsq
#4M,"Off-Market on 01/26/2015 at $3,950",2 beds,1 bath,756 ftsq
#4P,"Off-Market on 09/01/2018 at $870,000",2 beds,1 bath,833 ftsq
#4Q,"Sold on 03/26/2018 for $890,000",2 beds,1 bath,833 ftsq
#4R,"Off-Market on 08/02/2010 at $2,500",1 bed,1 bath,
#5A,"Listed for sale at $840,000",1 bed,2 baths,833 ftsq
#5B,"Off-Market on 01/12/2015 at $3,100",1 bed,1 bath,671 ftsq
#5C,"Sold on 10/14/2016 for $855,000",1 bed,1 bath,704 ftsq
#5D,"Sold on 02/05/1999 for $475,000",,,"1,168 ftsq"
#5E,"Off-Market on 03/02/2018 at $3,000",1 bed,1 bath,680 ftsq
#5F,"Sold on 12/21/2012 for $597,000",1 bed,1 bath,713 ftsq
#5G,"Sold on 02/10/2003 for $300,000",,,734 ftsq
#5I,"Off-Market on 09/28/2012 at $3,200",1 bed,1 bath,"1,000 ftsq"
#5J,"Off-Market on 03/03/2017 at $3,000",1 bed,1 bath,660 ftsq
#5K,"Sold on 06/30/2015 for $680,000",1 bed,1 bath,663 ftsq
#5L,"Sold on 12/12/2007 for $447,000",1 bed,1 bath,650 ftsq
#5M,"Sold on 02/16/2012 for $999,000",3 beds,2 baths,"1,586 ftsq"
#5O,"Off-Market on 10/04/2012 at $625,000",2 beds,1 bath,832 ftsq
#5P,"Off-Market on 07/03/2013 at $3,500",1 bed,1 bath,700 ftsq
#5R,"Off-Market on 12/01/2018 at $795,000",1 bed,1 bath,818 ftsq
#5ICK,"Off-Market on 07/23/2012 at $3,200",1 bed,1 bath,
#5KL,"Off-Market on 06/23/2007 at $964,000",3 beds,2 baths,"1,300 ftsq"
#5IKD,Off-Market,,,
#5IAOB,Off-Market,,,
#5MN,"Off-Market on 07/22/2017 at $2,450,000",3 beds,3 baths,"1,600 ftsq"
#5RR,"Off-Market on 02/05/2018 at $825,000",,,818 ftsq
#5ILZ,Off-Market,,,900 ftsq
#6A,"Listed for sale at $849,000",1 bed,1.5 baths,833 ftsq
#6C,"Off-Market on 04/10/2015 at $3,900",1 bed,1 bath,704 ftsq
#6D,"Off-Market on 09/24/2018 at $6,300",2 beds,2 baths,"1,174 ftsq"
#6E,"Off-Market on 10/28/2015 at $3,500",1 bed,1 bath,692 ftsq
#6F,"Sold on 11/06/2015 for $740,000",1 bed,1 bath,751 ftsq
#6G,"Sold on 05/30/2007 for $546,250",1 bed,1 bath,772 ftsq
#6H,"Sold on 10/09/2003 for $360,000",,,767 ftsq
#6I,"Off-Market on 09/20/2010 at $629,000",1 bed,1 bath,785 ftsq
#6J,"Off-Market on 02/17/2018 at $3,000",1 bed,1 bath,670 ftsq
#6K,"Off-Market on 07/03/2015 at $3,100",1 bed,1 bath,670 ftsq
#6L,Sold on 06/01/2015 for $0,1 bed,1 bath,650 ftsq
#7A,Off-Market,,,840 ftsq
#7B,Off-Market,,,687 ftsq
#7C,"Off-Market on 01/23/2012 at $2,900",1 bed,1 bath,704 ftsq
#7D,"Sold on 06/22/2006 for $1,140,000",2 beds,2 baths,"1,174 ftsq"
#7E,Sold on 04/17/2017 for $0,1 bed,1 bath,"1,121 ftsq"
#7F,Sold on 04/17/2017 for $0,,,745 ftsq
#8A,"Off-Market on 12/14/2015 at $4,400",1 bed,1.5 baths,850 ftsq
#8B,"Sold on 12/24/1995 for $192,000",,,687 ftsq
#8C,"Sold on 05/19/2004 for $490,000",,,704 ftsq
#8D,"Sold on 10/26/1995 for $350,000",,,"1,174 ftsq"
#8E,"Sold on 12/20/2017 for $790,000",2 beds,1 bath,647 ftsq
#8F,"Sold on 09/22/2000 for $335,000",,,745 ftsq
#9,"Off-Market on 06/16/2016 at $3,700",1 bed,1 bath,671 ftsq
#9A,"Sold on 12/23/2004 for $552,300",,,840 ftsq
#9C,"Sold on 12/03/2007 for $727,000",,,704 ftsq
#9D,"Sold on 12/08/2006 for $1,243,500",,,"1,174 ftsq"
#9E,"Sold on 05/03/2007 for $505,000",,,643 ftsq
#9F,"Sold on 06/22/2012 for $570,000",1 bed,1 bath,745 ftsq
#10,"Off-Market on 04/18/2013 at $6,900",2 beds,2 baths,"1,500 ftsq"
#10A,Sold on 04/27/2018 for $0,1 bed,1.5 baths,833 ftsq
#10B,Sold on 08/12/2016 for $0,,,687 ftsq
#10C,Sold on 08/12/2016 for $0,2 beds,2 baths,"1,391 ftsq"
#10D,"Sold on 02/17/2011 for $950,000",2 beds,2 baths,"1,175 ftsq"
#10BC,"Off-Market on 11/30/2018 at $1,990,000",2 beds,2 baths,"1,500 ftsq"
#10E,"Off-Market on 11/15/2018 at $2,975",1 bed,1 bath,642 ftsq
#10F,"Sold on 05/16/2003 for $455,000",,,745 ftsq
#11A,"Listed for sale at $1,080,000",1 bed,1.5 baths,833 ftsq
#11AA,Off-Market,,,833 ftsq
#11B,Sold on 12/14/2004 for $0,,,687 ftsq
#11C,"Off-Market on 06/02/2017 at $3,700",1 bed,1 bath,704 ftsq
#11D,"Sold on 06/30/1998 for $450,000",,,"1,174 ftsq"
#11E,"Sold on 05/29/2015 for $725,000",1 bed,1 bath,643 ftsq
#11F,Off-Market,,,745 ftsq
#11AL,Off-Market,,,
#12A,"Off-Market on 07/16/2009 at $2,800",1 bed,1.5 baths,810 ftsq
#12B,"Off-Market on 07/09/2018 at $4,250",1 bed,1 bath,687 ftsq
#12C,"Off-Market on 11/30/2018 at $3,600",1 bed,1 bath,704 ftsq
#12D,"Sold on 09/18/2002 for $737,500",,,"1,174 ftsq"
#12E,"Sold on 12/18/1997 for $150,000",,,643 ftsq
#12F,"Off-Market on 07/18/2016 at $829,888",1 bed,1 bath,750 ftsq
#M,"Off-Market on 03/18/2015 at $4,000",2 beds,1 bath,756 ftsq
#M3,"Sold on 02/26/2016 for $783,000",,,756 ftsq
#14D,"Sold on 08/21/2014 for $1,600,000",2 beds,2 baths,"1,174 ftsq"
#M4,Sold on 07/18/2014 for $0,,,756 ftsq
#M5,"Sold on 01/14/2016 for $1,665,000",,,756 ftsq
#14F,"Sold on 08/22/2014 for $825,000",,,745 ftsq
#15A,Sold on 04/05/2005 for $0,,,822 ftsq
#N3,"Sold on 02/28/2014 for $1,887,500",,,830 ftsq
#15D,"Off-Market on 06/25/2011 at $5,250",2 beds,2 baths,"1,174 ftsq"
#N4,"Sold on 01/17/2006 for $557,500",,,830 ftsq
#15E,Sold on 04/05/2005 for $0,,,680 ftsq
#N5,"Sold on 01/14/2016 for $1,665,000",,,830 ftsq
#15F,"Off-Market on 05/30/2017 at $3,600",1 bed,1 bath,725 ftsq
#O3,"Sold on 11/10/2006 for $610,000",,,833 ftsq
#O4,"Sold on 08/28/2002 for $298,000",,,833 ftsq
#O5,"Sold on 10/02/2012 for $600,000",,,833 ftsq
#P3,"Sold on 11/04/2016 for $935,000",,,833 ftsq
#P4,"Sold on 10/15/2013 for $584,000",,,833 ftsq
#P5,"Off-Market on 10/01/2015 at $3,500",1 bed,1 bath,833 ftsq
#Q4,"Sold on 03/26/2018 for $890,000",,,833 ftsq
#Q5,"Sold on 02/08/1999 for $218,000",,,833 ftsq
#R3,"Sold on 10/18/2012 for $418,888",,,818 ftsq
#R4,"Sold on 04/14/1999 for $242,500",,,818 ftsq
#R5,"Sold on 07/27/1999 for $227,500",,,818 ftsq
#30,"Off-Market on 05/16/2018 at $3,999",2 beds,1 bath,833 ftsq
APT-12B,Off-Market,1.5 beds,1 bath,
#5-0,Off-Market,,,
#FUR3R,"Off-Market on 02/21/2017 at $4,500",1 bed,1 bath,817 ftsq
#7A/7B,"Sold on 08/24/1998 for $650,000",,,
UNIT-3M,"Listed for sale at $750,000",1 bed,1 bath,756 ftsq
TOWNHOUSE,"Sold on 03/16/2010 for $1,675,000",3 beds,3 baths,"1,800 ftsq"
#142,"Sold on 09/21/1999 for $566,000",,,"1,174 ftsq"
#TH1,"Sold on 12/16/2013 for $1,817,500",3 beds,2.5 baths,"1,753 ftsq"
#TH2,"Sold on 02/28/2014 for $1,887,500",4 beds,4.5 baths,"2,550 ftsq"
#TH3,"Sold on 06/15/2012 for $985,175",,,"1,747 ftsq"
#TH4,"Sold on 03/15/2010 for $1,565,000",,,"1,747 ftsq"
#TH5,"Sold on 03/16/2000 for $978,000",,,"1,747 ftsq"
#TH6,"Sold on 01/13/2004 for $1,170,000",,,"1,755 ftsq"
#PH1,"Sold on 03/31/2015 for $3,150,000",3 beds,3 baths,"1,892 ftsq"
#PH2,"Off-Market on 11/07/2017 at $16,500",3 beds,3 baths,"3,200 ftsq"
