#0,"Off-Market on  at $2,600",1 bed,1 bath,700 ftsq
#1,Off-Market,,,
#1BR,"Off-Market on 11/10/2009 at $599,000",1 bed,1 bath,
1-BEDROOM,Off-Market,,,
#2,Off-Market,,,"1,100 ftsq"
#3,"Off-Market on 09/24/2010 at $2,500",studio,1 bath,600 ftsq
#3A,Off-Market,,,
#6,"Off-Market on 05/24/2010 at $2,395",studio,1 bath,660 ftsq
#8,"Off-Market on 06/04/2013 at $3,000",2 beds,1 bath,760 ftsq
#8C,Off-Market,,,
#8C,Off-Market,,,
#9T,"Off-Market on 10/29/2011 at $2,900",1 bed,1 bath,768 ftsq
#11,"Off-Market on 07/30/2014 at $2,450",studio,1 bath,515 ftsq
#12C,"Off-Market on 04/24/2010 at $2,295",studio,1 bath,700 ftsq
#18A,"Off-Market on 07/29/2013 at $2,600",studio,1 bath,
#20,"Off-Market on 06/19/2010 at $2,395",studio,1 bath,550 ftsq
#23N,Off-Market,,,"1,000 ftsq"
#CU,"Sold on 08/04/2014 for $4,362,000",,,
#CU2,Off-Market,,,
#28,"Off-Market on 09/20/2010 at $575,000",studio,1 bath,
#VAE450,Off-Market,,,
#30,"Off-Market on 12/24/2010 at $4,400",1 bed,1 bath,700 ftsq
#37,"Off-Market on 09/18/2008 at $14,000",3 beds,3 baths,
APT-725,Off-Market,1 bed,1 bath,845 ftsq
#STU,"Off-Market on 11/10/2009 at $419,000",studio,1 bath,
#81,"Off-Market on 10/29/2013 at $3,195",1 bed,1 bath,737 ftsq
#88,Off-Market,,,720 ftsq
NEW-YORK-NY,"Off-Market on 12/02/2009 at $665,000",2 beds,2 baths,"1,600 ftsq"
NEW-YORK-NY-,"Off-Market on 12/22/2009 at $1,095,000",2 beds,2 baths,800 ftsq
PENTHOUSES,"Off-Market on 11/17/2015 at $4,200,000",3 beds,3 baths,
#301,"Sold on 12/09/2018 for $600,000",1 bed,1 bath,656 ftsq
#302,"Off-Market on 07/18/2017 at $3,400",studio,1 bath,733 ftsq
#303,"Off-Market on 06/01/2018 at $2,700",studio,1 bath,625 ftsq
#304,"Off-Market on 05/07/2018 at $4,800",2 beds,2 baths,"1,213 ftsq"
#305,"Sold on 03/17/2016 for $600,000",studio,1 bath,577 ftsq
#306,"Sold on 03/23/2017 for $610,000",studio,1 bath,620 ftsq
#307,"Off-Market on 06/21/2016 at $3,500",1 bed,1 bath,732 ftsq
#308,"Sold on 12/22/2009 for $641,497",1 bed,1 bath,778 ftsq
#309,"Off-Market on 05/22/2017 at $4,995",2 beds,2 baths,"1,122 ftsq"
#310,"Sold on 07/02/2009 for $425,000",,,
#311,"Sold on 06/15/2010 for $412,000",studio,1 bath,515 ftsq
#312,"Off-Market on 06/14/2018 at $2,550",studio,1 bath,569 ftsq
#313,"Sold on 06/06/2011 for $500,000",studio,1 bath,627 ftsq
