#-802,Off-Market,,,
#2BD,"Off-Market on 10/15/2013 at $5,195",2 beds,2 baths,"1,300 ftsq"
#4,"Off-Market on 02/25/2012 at $4,850",2 beds,1 bath,"1,200 ftsq"
#7,Off-Market,,,"1,700 ftsq"
#7F,"Off-Market on 07/02/2012 at $3,795",1 bed,1 bath,955 ftsq
#10,"Off-Market on 04/18/2013 at $6,000",2 beds,2 baths,
#10A,"Off-Market on 03/24/2008 at $23,000",4 beds,3 baths,"3,100 ftsq"
#12I,"Off-Market on 02/01/2015 at $1,950,000",2 beds,2 baths,"1,550 ftsq"
#14,"Off-Market on 11/03/2015 at $2,295,000",2 beds,2 baths,"1,730 ftsq"
#14B,"Off-Market on 10/27/2014 at $4,190",1 bed,1 bath,750 ftsq
#CK,Off-Market,,,
#BLB1,"Sold on 10/11/2005 for $10,421,466",,,
#BLB2,"Sold on 10/11/2005 for $10,421,466",,,
#BLB3,"Sold on 10/11/2005 for $10,421,466",,,
#BLB4,"Sold on 10/11/2005 for $10,421,466",,,
#BLB5,"Sold on 10/11/2005 for $3,381,464",,,
#BLB6,"Sold on 10/11/2005 for $5,709,269",,,
#S1906,"Sold on 02/19/2015 for $1,400,000",2 beds,1 bath,"1,077 ftsq"
#23WAL,"Sold on 11/14/2008 for $150,000,000",,,
#25,"Off-Market on 04/27/2010 at $4,500",2 beds,1 bath,"1,200 ftsq"
#27,Off-Market,,,"1,600 ftsq"
#32,"Off-Market on 11/03/2015 at $5,000,000",3 beds,4 baths,
APT-1704,Off-Market,2 beds,1 bath,"1,169 ftsq"
#LZ,Off-Market,,,
#XX,"Off-Market on 11/24/2011 at $3,300",studio,1 bath,800 ftsq
#LOFT,Off-Market,,,
#RETL1,"Sold on 11/14/2008 for $150,000,000",,,
#RETL2,"Sold on 11/14/2008 for $150,000,000",,,
#RESER,"Sold on 06/18/2007 for $1,013,158",,,
#180I,"Off-Market on 06/15/2017 at $3,300",1 bed,1 bath,734 ftsq
#18O1,"Off-Market on 05/04/2017 at $3,100",studio,1 bath,734 ftsq
#200,"Sold on 10/11/2005 for $10,421,466",,,
#201,"Sold on 10/11/2005 for $10,421,466",,,
#202,"Sold on 10/11/2005 for $10,421,466",,,
#300,"Sold on 07/20/2006 for $6,022,294",,,
#301,"Sold on 07/20/2006 for $6,022,294",,,
#302,"Sold on 10/11/2005 for $3,381,464",,,
#303,"Sold on 10/11/2005 for $5,709,269",,,
#400,"Sold on 10/11/2005 for $3,381,464",,,
#401,"Sold on 10/11/2005 for $5,709,269",,,
#702,"Sold on 11/18/2015 for $1,895,000",2 beds,2 baths,"1,700 ftsq"
#710,"Off-Market on 01/25/2015 at $10,950",3 beds,3 baths,"2,200 ftsq"
#712,"Sold on 06/05/2012 for $1,450,000",2 beds,2 baths,"2,025 ftsq"
#714,"Sold on 05/26/2017 for $2,250,000",2 beds,2 baths,"2,041 ftsq"
#716,"Sold on 12/29/2010 for $1,385,000",2 beds,2 baths,"1,746 ftsq"
#720,"Sold on 07/14/2017 for $2,850,000",3 beds,3 baths,"2,285 ftsq"
#722,"Sold on 04/17/2007 for $549,855",,,
#724,"Sold on 04/27/2017 for $2,050,000",1 bed,2 baths,"2,270 ftsq"
#728,"Sold on 01/07/2014 for $855,000",studio,1 bath,821 ftsq
#730,"Off-Market on 08/02/2017 at $5,500",2 beds,2 baths,"1,454 ftsq"
#800,"Listed for rent at $7,995",2 beds,1 bath,"1,581 ftsq"
#801,"Off-Market on 05/03/2017 at $3,300",studio,1 bath,750 ftsq
#802,"Sold on 05/18/2007 for $1,441,332",,,
#808,"Off-Market on 03/24/2008 at $3,200",studio,1 bath,704 ftsq
#810,"Sold on 01/14/2010 for $2,100,000",3 beds,3 baths,"2,222 ftsq"
#812,"Sold on 04/02/2007 for $1,389,911",,,
#814,"Off-Market on 09/14/2017 at $8,495",3 beds,2 baths,"2,039 ftsq"
#816,"Off-Market on 05/15/2013 at $1,695,000",1 bed,2 baths,"1,748 ftsq"
#820,"Sold on 04/02/2007 for $1,731,025",,,
#822,"Off-Market on 06/26/2015 at $2,950",studio,1 bath,725 ftsq
#824,"Off-Market on 09/17/2018 at $5,750",2 beds,2 baths,"1,524 ftsq"
#826,"Sold on 04/05/2014 for $1,275,000",1 bed,2 baths,"1,409 ftsq"
#828,"Sold on 11/20/2007 for $865,000",,,
#830,"Sold on 01/29/2016 for $1,450,000",studio,2 baths,"1,454 ftsq"
#830F,"Off-Market on 02/20/2009 at $4,995",2 beds,2 baths,"1,454 ftsq"
#900,Sold on 12/28/2011 for $0,,,
