#1,"Off-Market on 06/12/2011 at $2,350",studio,1 bath,
#1BR,"Off-Market on 04/21/2014 at $3,500",1 bed,1 bath,852 ftsq
1-BEDROOM,Off-Market,,,
#2,"Off-Market on 04/21/2013 at $5,145",2 beds,2 baths,
#2BD,"Off-Market on 10/07/2013 at $4,600",2 beds,2 baths,
#2BR,"Off-Market on 04/21/2014 at $4,900",2 beds,2 baths,"1,180 ftsq"
2-BEDROOM,Off-Market,,,
#3D,Off-Market,,,
#8,"Off-Market on 09/09/2011 at $2,650",studio,1 bath,
#10,"Off-Market on 09/26/2013 at $3,395",1 bed,1 bath,
#11,"Off-Market on 06/04/2012 at $3,595",1 bed,1 bath,
#12,"Off-Market on 02/12/2014 at $4,575",1 bed,1 bath,
#K,"Off-Market on 05/17/2011 at $4,500",2 beds,2 baths,
#14,"Off-Market on 10/07/2013 at $3,495",1 bed,1 bath,900 ftsq
#14J,"Off-Market on 05/24/2011 at $3,830",2 beds,1 bath,
#17,"Off-Market on 03/10/2012 at $3,000",1 bed,1 bath,
#18,"Off-Market on 06/07/2013 at $4,800",2 beds,2 baths,"1,250 ftsq"
#19C,"Off-Market on 07/30/2013 at $2,995",1 bed,1 bath,
#20,Off-Market,,,
#S,"Off-Market on 02/12/2010 at $2,070",studio,1 bath,
#21,Off-Market,,,
#23,"Off-Market on 06/07/2013 at $2,700",studio,1 bath,
#24,"Off-Market on 09/21/2013 at $3,850",2 beds,1 bath,
#25,"Off-Market on 09/16/2013 at $3,500",2 beds,1 bath,800 ftsq
#26G,"Off-Market on 04/01/2014 at $5,650",2 beds,2 baths,
#31C,"Off-Market on 07/27/2013 at $2,995",1 bed,1 bath,650 ftsq
#32C,"Off-Market on 07/30/2013 at $3,495",1 bed,1 bath,817 ftsq
#35,"Off-Market on 10/15/2013 at $2,870",1 bed,1 bath,640 ftsq
#VAR,"Off-Market on 12/28/2012 at $3,750",studio,1 bath,
#VARC1,Off-Market,,,
#XX,"Off-Market on 03/29/2011 at $3,447",1 bed,1 bath,800 ftsq
#LOFT,Off-Market,,,
#STU,"Off-Market on 02/12/2014 at $2,670",studio,1 bath,
#VAR2BR,Off-Market,,,"1,080 ftsq"
#STUDIO,Off-Market,,,
#109,Off-Market,,,986 ftsq
ALCOVE-STU,Off-Market,,,
STUDIO-W-O,Off-Market,,,
#190,"Listed for rent at $3,838",studio,1 bath,815 ftsq
#201,"Off-Market on 06/01/2017 at $3,374",studio,1 bath,551 ftsq
#202,"Off-Market on 06/20/2017 at $2,752",studio,1 bath,453 ftsq
#203,"Off-Market on 11/11/2016 at $2,784",studio,1 bath,495 ftsq
#204,"Off-Market on 12/04/2017 at $3,614",studio,1 bath,805 ftsq
#205,"Listed for rent at $4,248",studio,1 bath,889 ftsq
#206,"Off-Market on 06/07/2017 at $3,900",1 bed,1 bath,674 ftsq
#207,"Off-Market on 09/10/2018 at $6,084",2 beds,2 baths,"1,079 ftsq"
#208,"Off-Market on 09/20/2018 at $3,396",studio,1 bath,591 ftsq
#210,"Off-Market on 02/06/2018 at $3,130",studio,1 bath,576 ftsq
#210A,Off-Market,,,600 ftsq
#211,"Off-Market on 07/07/2016 at $5,854",2 beds,2 baths,"1,080 ftsq"
#212,"Off-Market on 08/24/2017 at $3,795",1 bed,1 bath,678 ftsq
#213,"Off-Market on 06/17/2017 at $3,870",studio,1 bath,675 ftsq
#214,"Off-Market on 11/02/2017 at $3,610",studio,1 bath,685 ftsq
#215,"Off-Market on 08/12/2016 at $2,886",studio,1 bath,487 ftsq
#218,"Off-Market on 06/06/2013 at $3,346",studio,1 bath,464 ftsq
#219,"Off-Market on 01/15/2018 at $3,231",studio,1 bath,597 ftsq
#224,"Off-Market on 02/21/2014 at $4,232",1 bed,1 bath,886 ftsq
#302,"Off-Market on 12/12/2016 at $2,710",studio,1 bath,
#303,"Off-Market on 09/19/2016 at $2,966",studio,1 bath,495 ftsq
#304,"Off-Market on 03/20/2014 at $3,647",studio,1 bath,818 ftsq
#305,"Off-Market on 09/25/2017 at $3,944",2 beds,1 bath,889 ftsq
#306,"Off-Market on 04/17/2018 at $3,725",1 bed,1 bath,674 ftsq
#307,"Off-Market on 07/20/2017 at $6,349",2 beds,2 baths,"1,079 ftsq"
#310,"Off-Market on 10/10/2014 at $3,045",studio,1 bath,576 ftsq
#311,"Off-Market on 08/05/2018 at $5,880",2 beds,2 baths,"1,080 ftsq"
#313,"Off-Market on 11/06/2014 at $3,116",studio,1 bath,675 ftsq
#314,"Off-Market on 07/28/2015 at $3,809",studio,1 bath,694 ftsq
#316,"Off-Market on 04/05/2018 at $2,970",studio,1 bath,487 ftsq
#317,"Off-Market on 07/07/2018 at $2,820",studio,1 bath,475 ftsq
#318,"Off-Market on 07/25/2013 at $3,387",studio,1 bath,464 ftsq
#319,"Off-Market on 08/16/2016 at $2,886",studio,1 bath,472 ftsq
#320,"Off-Market on 03/27/2012 at $15,500",3 beds,2 baths,"3,000 ftsq"
#320A,"Off-Market on 06/09/2018 at $12,000",3 beds,3 baths,"3,000 ftsq"
#324,"Off-Market on 09/10/2018 at $3,590",studio,1 bath,825 ftsq
#325,"Off-Market on 07/26/2018 at $3,290",1 bed,1 bath,623 ftsq
#401,"Off-Market on 05/06/2016 at $2,947",studio,1 bath,551 ftsq
#402,"Off-Market on 08/23/2016 at $2,785",studio,1 bath,453 ftsq
#403,"Listed for rent at $3,155",studio,1 bath,495 ftsq
#405,"Off-Market on 03/20/2018 at $3,650",studio,1 bath,889 ftsq
#407,"Off-Market on 12/02/2016 at $5,599",2 beds,2 baths,"1,079 ftsq"
#408,"Off-Market on 03/21/2014 at $3,225",studio,1 bath,591 ftsq
#409,"Off-Market on 07/29/2009 at $3,300",studio,1 bath,600 ftsq
#410,"Off-Market on 05/06/2016 at $3,092",studio,1 bath,576 ftsq
#411,"Off-Market on 08/27/2014 at $5,535",2 beds,1 bath,"1,080 ftsq"
#412,"Off-Market on 12/11/2018 at $4,050",1 bed,1 bath,678 ftsq
#413,"Off-Market on 05/31/2017 at $3,549",studio,1 bath,675 ftsq
#415,"Off-Market on 12/12/2018 at $2,974",studio,1 bath,480 ftsq
#416,"Off-Market on 07/07/2018 at $2,920",studio,1 bath,487 ftsq
#417,"Off-Market on 05/20/2013 at $3,660",studio,1 bath,475 ftsq
#418,"Off-Market on 07/14/2018 at $2,905",studio,1 bath,464 ftsq
#419,"Off-Market on 07/16/2016 at $2,790",studio,1 bath,472 ftsq
#420,"Off-Market on 02/26/2016 at $2,690",studio,1 bath,473 ftsq
#421,"Off-Market on 05/29/2018 at $3,296",studio,1 bath,557 ftsq
#422,"Off-Market on 10/01/2011 at $4,153",1 bed,,950 ftsq
#424,"Off-Market on 05/01/2018 at $3,490",studio,1 bath,825 ftsq
#425,"Off-Market on 10/28/2016 at $2,893",studio,1 bath,625 ftsq
#502,"Off-Market on 03/28/2016 at $2,785",studio,1 bath,452 ftsq
#503,"Off-Market on 06/30/2017 at $2,956",studio,1 bath,495 ftsq
#504,"Off-Market on 04/16/2016 at $3,734",studio,1 bath,818 ftsq
#505,"Off-Market on 03/20/2018 at $3,700",studio,1 bath,889 ftsq
#507,"Off-Market on 04/27/2016 at $5,621",2 beds,2 baths,"1,079 ftsq"
#508,"Off-Market on 08/16/2017 at $3,348",1 bed,1 bath,591 ftsq
#510,"Off-Market on 07/16/2016 at $3,156",studio,1 bath,576 ftsq
#512,"Off-Market on 02/20/2015 at $3,748",1 bed,1 bath,678 ftsq
#513,"Off-Market on 07/11/2018 at $3,545",studio,1 bath,675 ftsq
#514,"Off-Market on 06/05/2018 at $3,690",studio,1 bath,694 ftsq
#515,Off-Market,,,
#515A,"Off-Market on 12/14/2013 at $3,450",studio,1 bath,
#516,Off-Market,,,
#517,"Off-Market on 09/06/2016 at $2,830",studio,1 bath,475 ftsq
#518,"Off-Market on 08/15/2017 at $2,861",studio,1 bath,464 ftsq
#519,"Off-Market on 05/17/2015 at $2,899",studio,1 bath,472 ftsq
#520,"Off-Market on 04/26/2018 at $2,996",studio,1 bath,473 ftsq
#521,"Off-Market on 05/29/2018 at $3,098",studio,1 bath,557 ftsq
#523,"Off-Market on 09/03/2017 at $3,695",1 bed,1 bath,818 ftsq
#524,"Off-Market on 02/05/2018 at $3,470",studio,1 bath,825 ftsq
#525,"Off-Market on 05/31/2018 at $3,190",studio,1 bath,623 ftsq
#601,"Off-Market on 10/20/2016 at $3,254",studio,1 bath,551 ftsq
#602,"Off-Market on 05/05/2018 at $2,805",studio,1 bath,453 ftsq
#603,"Off-Market on 05/12/2018 at $2,906",studio,1 bath,495 ftsq
#605,"Off-Market on 04/05/2018 at $3,700",studio,1 bath,889 ftsq
#606,"Off-Market on 02/12/2014 at $3,708",1 bed,1 bath,674 ftsq
#607,"Off-Market on 01/11/2018 at $5,533",2 beds,2 baths,"1,079 ftsq"
#609,"Off-Market on 06/08/2017 at $3,354",1 bed,1 bath,618 ftsq
#611,"Off-Market on 09/15/2016 at $5,679",2 beds,2 baths,"1,080 ftsq"
#612,"Off-Market on 02/22/2015 at $3,688",1 bed,1 bath,678 ftsq
#613,"Off-Market on 03/17/2016 at $3,241",studio,1 bath,678 ftsq
