#2A,"Off-Market on 05/04/2018 at $2,975,000",3 beds,3 baths,"1,810 ftsq"
#2B,"Off-Market on 05/04/2018 at $3,225,000",4 beds,4 baths,"2,100 ftsq"
#2C,"Off-Market on 09/28/2016 at $2,975,000",3 beds,3 baths,"1,892 ftsq"
#4A,"Sold on 11/29/2017 for $977,520",1 bed,1 bath,
#4B,"Sold on 05/23/2018 for $2,225,000",2 beds,2.5 baths,"1,512 ftsq"
#4C,"Sold on 06/01/2017 for $1,695,000",1 bed,2 baths,"1,168 ftsq"
#5A,"Off-Market on 10/22/2018 at $3,995",1 bed,1 bath,706 ftsq
#5B,"Sold on 09/28/2017 for $2,372,500",2 beds,2.5 baths,
#5C,"Sold on 02/21/2018 for $1,625,000",2 beds,2.5 baths,"1,168 ftsq"
#6A,"Sold on 05/02/2017 for $1,216,808",1 bed,1 bath,706 ftsq
#6B,"Sold on 12/19/2017 for $2,394,160",2 beds,2.5 baths,"1,512 ftsq"
#6C,"Off-Market on 08/01/2018 at $1,865,000",1 bed,2 baths,"1,168 ftsq"
#7A,"Sold on 09/10/2018 for $985,000",1 bed,1 bath,706 ftsq
#7B,"Sold on 03/29/2017 for $2,443,800",2 beds,2.5 baths,"1,512 ftsq"
#7C,"Sold on 05/16/2017 for $1,710,466",1 bed,2 baths,"1,168 ftsq"
#8A,"Off-Market on 11/16/2018 at $999,000",1 bed,1 bath,706 ftsq
#8B,"Sold on 11/15/2017 for $2,571,081",2 beds,2.5 baths,
#8C,"Sold on 06/29/2017 for $1,718,806",2 beds,2 baths,"1,168 ftsq"
#9A,"Off-Market on 09/20/2018 at $1,075,000",1 bed,1 bath,706 ftsq
#9B,"Listed for sale at $2,300,000",2 beds,2.5 baths,"1,512 ftsq"
#9C,"Sold on 06/13/2017 for $1,802,302",2 beds,2 baths,"1,168 ftsq"
#10A,"Sold on 02/13/2018 for $1,186,115",1 bed,1 bath,703 ftsq
#10B,"Off-Market on 09/22/2018 at $7,000",2 beds,2.5 baths,"1,417 ftsq"
#10C,"Listed for rent at $5,995",2 beds,2 baths,"1,263 ftsq"
#11A,"Off-Market on 05/17/2018 at $1,225,000",,,703 ftsq
#11B,"Off-Market on 05/04/2018 at $2,275,000",2 beds,2.5 baths,"1,417 ftsq"
#11C,"Listed for sale at $1,600,000",2 beds,2 baths,"1,263 ftsq"
#12A,"Listed for sale at $995,000",1 bed,1 bath,703 ftsq
#12B,"Off-Market on 11/16/2018 at $2,150,000",2 beds,2.5 baths,"1,416 ftsq"
#12C,"Off-Market on 04/25/2017 at $1,965,000",2 beds,2 baths,"1,263 ftsq"
#14A,"Off-Market on 02/08/2018 at $4,200",1 bed,1 bath,
#14B,"Off-Market on 04/02/2018 at $7,000",2 beds,2.5 baths,"1,417 ftsq"
#14C,"Off-Market on 12/07/2018 at $6,900",2 beds,2 baths,"1,263 ftsq"
14-FL-C,"Off-Market on 06/22/2018 at $7,000",2 beds,2 baths,
#15A,"Off-Market on 08/24/2018 at $1,195,000",1 bed,1 bath,703 ftsq
#15B,"Listed for sale at $1,950,000",2 beds,2.5 baths,"1,417 ftsq"
#15C,"Sold on 05/04/2017 for $2,095,000",2 beds,2 baths,"1,263 ftsq"
#16A,"Off-Market on 10/16/2017 at $3,995",1 bed,1 bath,703 ftsq
#16B,"Off-Market on 03/07/2018 at $7,500",2 beds,2.5 baths,"1,417 ftsq"
#16C,"Off-Market on 09/21/2017 at $6,400",2 beds,2 baths,"1,263 ftsq"
#17A,"Sold on 05/03/2017 for $2,021,226",2 beds,2 baths,"1,103 ftsq"
#17B,"Sold on 04/27/2017 for $3,818,437",3 beds,3 baths,"2,177 ftsq"
#18,"Off-Market on 04/02/2018 at $5,998,000",6 beds,5 baths,"3,074 ftsq"
#18A,"Off-Market on 04/14/2016 at $1,915,000",2 beds,2 baths,"1,053 ftsq"
#18B,"Off-Market on 04/14/2016 at $3,420,000",3 beds,3.5 baths,"2,021 ftsq"
#18AB,"Off-Market on 01/04/2018 at $23,000",6 beds,5 baths,"3,074 ftsq"
#19A,"Sold on 06/01/2017 for $1,598,652",1 bed,1 bath,829 ftsq
#19B,"Sold on 05/31/2017 for $3,207,487",3 beds,3.5 baths,"1,844 ftsq"
#20A,"Listed for rent at $5,500",2 beds,2 baths,963 ftsq
#20AA,"Listed for sale at $1,650,000",2 beds,2 baths,963 ftsq
#20B,"Off-Market on 05/17/2018 at $2,995,000",2 beds,2.5 baths,"1,612 ftsq"
#21A,"Off-Market on 10/19/2018 at $13,500",3 beds,3.5 baths,"2,305 ftsq"
#22,"Listed for sale at $3,495,000",3 beds,3.5 baths,"2,160 ftsq"
#22A,"Off-Market on 05/04/2018 at $3,495,000",3 beds,3.5 baths,"2,160 ftsq"
#23,Off-Market,3 beds,3 baths,"1,795 ftsq"
#23A,"Sold on 10/03/2018 for $2,775,000",3 beds,3 baths,"1,795 ftsq"
#RES,Off-Market,,,
#COMMA,Sold on 03/29/2016 for $0,,,
#COMMB,Sold on 03/29/2016 for $0,,,
#COMMC,Sold on 03/29/2016 for $0,,,
DUPLEX-A,Off-Market,3 beds,3 baths,"1,810 ftsq"
DUPLEXA,"Off-Market on 11/16/2018 at $2,250,000",3 beds,3 baths,"1,810 ftsq"
DUPLEXB,"Listed for sale at $2,500,000",4 beds,4 baths,"2,100 ftsq"
DUPLEXC,"Listed for sale at $2,000,000",3 beds,3 baths,"1,892 ftsq"
#14C1,"Off-Market on 08/01/2018 at $7,000",2 beds,2 baths,
#PHA,"Listed for sale at $4,995,000",3 beds,3.5 baths,"2,706 ftsq"
#PHB,Off-Market,4 beds,4.5 baths,"3,146 ftsq"
#PH1,Off-Market,,,
#PH2,"Sold on 09/28/2018 for $5,250,000",4 beds,4.5 baths,"3,146 ftsq"
