#2A,"Sold on 01/20/2010 for $545,000",1 bed,1 bath,705 ftsq
#2B,Off-Market,,,
#2C,"Off-Market on 11/28/2018 at $1,850,000",3 beds,2 baths,"1,440 ftsq"
#2D,"Off-Market on 09/02/2010 at $2,500",studio,1 bath,803 ftsq
#2E,"Sold on 10/02/2017 for $787,500",studio,1 bath,745 ftsq
#2F,"Off-Market on 03/08/2017 at $4,850",2 beds,2 baths,
#2G,"Listed for sale at $1,230,000",2 beds,2 baths,"1,050 ftsq"
#2FB,"Off-Market on 02/07/2017 at $1,325,000",2 beds,2 baths,"1,039 ftsq"
#2H,"Off-Market on 05/02/2012 at $2,395",studio,1 bath,480 ftsq
#2I,"Sold on 02/11/2008 for $738,232",,,
#3A,"Sold on 07/10/2008 for $590,000",1 bed,1 bath,708 ftsq
#3B,"Sold on 12/28/2007 for $985,000",2 beds,2 baths,"1,056 ftsq"
#3C,"Sold on 09/10/2012 for $1,122,500",3 beds,2 baths,"1,412 ftsq"
#3D,Sold on 04/30/2012 for $0,studio,1 bath,800 ftsq
#3E,"Off-Market on 07/20/2018 at $3,200",studio,1 bath,745 ftsq
#3F,"Off-Market on 04/30/2013 at $3,999",2 beds,2 baths,"1,100 ftsq"
#3G,"Off-Market on 07/17/2018 at $5,000",2 beds,2 baths,998 ftsq
#3H,"Sold on 02/20/2017 for $580,000",1 bed,1 bath,469 ftsq
#3I,Sold on 11/01/2017 for $0,1 bed,2 baths,"1,153 ftsq"
#4A,"Sold on 09/05/2013 for $620,000",1 bed,1 bath,708 ftsq
#4B,"Off-Market on 04/11/2018 at $4,700",2 beds,2 baths,"1,056 ftsq"
#4C,"Off-Market on 02/01/2010 at $4,500",3 beds,2 baths,"1,412 ftsq"
#4D,"Off-Market on 07/31/2018 at $3,300",studio,1 bath,799 ftsq
#4E,Sold on 10/03/2013 for $0,,,
#4F,"Sold on 07/18/2017 for $1,212,500",2 beds,2 baths,"1,006 ftsq"
#4G,"Sold on 08/22/2014 for $1,185,000",2 beds,2 baths,998 ftsq
#4H,"Off-Market on 08/18/2016 at $2,650",studio,1 bath,469 ftsq
#4I,"Listed for sale at $1,295,000",2 beds,2 baths,"1,153 ftsq"
#5A,"Sold on 01/31/2007 for $567,165",,,
#5B,"Sold on 08/31/2007 for $881,804",,,
#5C,"Sold on 10/15/2008 for $1,332,380",3 beds,2 baths,"1,412 ftsq"
#5E,"Sold on 01/29/2007 for $527,797",,,
#5F,"Sold on 07/24/2007 for $964,028",,,
#5G,"Off-Market on 12/03/2018 at $4,600",2 beds,2 baths,998 ftsq
#5H,"Sold on 06/20/2016 for $641,497",studio,1 bath,
#5I,"Sold on 08/14/2007 for $718,069",,,
#6A,"Off-Market on 04/30/2015 at $3,195",1 bed,1 bath,700 ftsq
#6B,"Off-Market on 04/10/2018 at $4,850",2 beds,2 baths,"1,009 ftsq"
#6C,"Sold on 07/15/2016 for $1,950,000",3 beds,2 baths,"1,412 ftsq"
#6D,"Sold on 05/04/2018 for $400,000",studio,1 bath,799 ftsq
#6E,"Sold on 02/14/2007 for $515,998",,,
#6F,"Sold on 04/11/2012 for $795,000",2 beds,2 baths,"1,006 ftsq"
#6G,"Sold on 08/02/2007 for $897,841",,,
#6H,"Off-Market on 09/16/2015 at $2,700",studio,1 bath,469 ftsq
#6I,"Sold on 01/05/2015 for $999,000",2 beds,2 baths,"1,153 ftsq"
#7A,"Off-Market on 05/02/2017 at $3,500",1 bed,1 bath,708 ftsq
#7B,"Sold on 05/15/2007 for $902,169",,,
#7C,"Sold on 05/08/2008 for $1,342,563",3 beds,2 baths,"1,412 ftsq"
#7D,"Sold on 07/30/2015 for $780,000",studio,1 bath,800 ftsq
#7E,"Sold on 03/29/2007 for $521,089",,,
#7G,"Off-Market on 01/10/2018 at $4,900",2 beds,2 baths,"1,000 ftsq"
#7H,"Off-Market on 05/13/2014 at $2,650",studio,1 bath,
#7I,"Off-Market on 04/25/2018 at $1,099,000",2 beds,2 baths,"1,153 ftsq"
#8A,"Off-Market on 10/11/2013 at $3,200",1 bed,1 bath,700 ftsq
#8B,"Listed for rent at $4,750",2 beds,2 baths,"1,058 ftsq"
#8C,"Listed for sale at $1,650,000",3 beds,2 baths,"1,412 ftsq"
#8D,"Off-Market on 04/30/2015 at $795,000",studio,1 bath,799 ftsq
#8E,"Sold on 04/18/2007 for $536,363",,,
#8F,"Sold on 08/17/2007 for $994,575",,,
#8G,"Sold on 10/21/2013 for $990,000",2 beds,2 baths,998 ftsq
#8H,"Off-Market on 04/26/2013 at $2,400",studio,1 bath,490 ftsq
#8I,"Off-Market on 09/28/2017 at $4,400",2 beds,2 baths,"1,153 ftsq"
#9A,"Off-Market on 02/06/2013 at $3,100",1 bed,1 bath,708 ftsq
#9B,"Sold on 06/26/2018 for $1,270,000",2 beds,2 baths,"1,056 ftsq"
#9C,"Sold on 05/15/2008 for $1,420,459",,,
#9D,"Sold on 09/08/2017 for $835,500",studio,1 bath,799 ftsq
#9E,"Sold on 01/23/2017 for $825,000",studio,1 bath,745 ftsq
#9F,"Sold on 11/30/2009 for $880,000",2 beds,2 baths,"1,050 ftsq"
#9G,"Sold on 09/29/2015 for $1,330,000",2 beds,2 baths,998 ftsq
#9H,"Sold on 03/15/2007 for $441,090",,,
#9I,Sold on 02/16/2016 for $0,,,
#10,Off-Market,,,
#10A,"Off-Market on 11/07/2017 at $2,500",studio,1 bath,708 ftsq
#10B,"Listed for rent at $6,500",3 beds,2 baths,
#10C,"Sold on 07/01/2015 for $1,830,000",3 beds,2 baths,"1,412 ftsq"
#10D,"Sold on 12/12/2014 for $720,000",studio,1 bath,799 ftsq
#10E,"Off-Market on 06/05/2018 at $3,200",studio,1 bath,745 ftsq
#10F,"Sold on 08/02/2007 for $1,006,794",,,
#10G,"Sold on 12/31/2014 for $1,240,000",2 beds,2 baths,998 ftsq
#10H,"Off-Market on 11/11/2015 at $2,650",studio,1 bath,
#10D/E,"Sold on 01/31/2013 for $950,000",,,
#10DE,"Off-Market on 07/12/2014 at $1,400,000",2 beds,2 baths,"1,550 ftsq"
#10I,"Sold on 10/02/2012 for $885,000",2 beds,2 baths,"1,153 ftsq"
#11,"Off-Market on 05/11/2012 at $3,300",1 bed,1 bath,
#11A,"Sold on 05/18/2016 for $850,000",1 bed,1 bath,710 ftsq
#11B,"Sold on 05/08/2007 for $941,881",,,
#11C,"Sold on 07/02/2008 for $1,263,500",3 beds,2 baths,"1,412 ftsq"
#11D,"Sold on 03/16/2007 for $561,361",,,
#11E,"Off-Market on 02/13/2018 at $3,200",studio,1 bath,745 ftsq
#11F,"Sold on 06/29/2007 for $1,025,123",,,
#11G,"Sold on 06/01/2007 for $940,608",,,
#11H,"Sold on 11/02/2016 for $600,000",studio,1 bath,500 ftsq
#11I,"Off-Market on 04/04/2018 at $4,500",2 beds,2 baths,
#12A,"Sold on 06/26/2007 for $664,102",,,
#12B,"Sold on 11/14/2012 for $585,000",1 bed,1 bath,673 ftsq
#12C,"Sold on 11/07/2013 for $1,525,000",3 beds,2 baths,"1,257 ftsq"
#12D,"Off-Market on 08/05/2014 at $2,750",studio,1 bath,685 ftsq
#12E,"Off-Market on 11/20/2016 at $800,000",1 bed,1 bath,613 ftsq
#12F,"Sold on 09/14/2012 for $1,025,000",2 beds,2 baths,"1,130 ftsq"
#12G,"Sold on 09/14/2017 for $622,500",,,
#12H,"Sold on 08/24/2015 for $700,000",studio,1 bath,498 ftsq
#12I,"Sold on 06/06/2007 for $789,347",,,
#13A,"Off-Market on 09/02/2018 at $4,600",2 beds,2 baths,"1,050 ftsq"
#13B,"Sold on 12/07/2007 for $1,566,681",,,
#13C,"Off-Market on 03/08/2018 at $2,795",studio,1 bath,687 ftsq
#13D,"Off-Market on 05/22/2013 at $2,800",studio,1 bath,642 ftsq
#13E,"Sold on 05/14/2007 for $1,173,685",,,
#13F,"Off-Market on 09/26/2018 at $3,500",1 bed,1 bath,664 ftsq
#13G,"Sold on 09/30/2015 for $1,225,000",2 beds,2 baths,"1,125 ftsq"
#14A,Sold on 12/22/2015 for $0,2 beds,2 baths,875 ftsq
#14B,"Sold on 12/31/2012 for $1,150,000",3 beds,2 baths,"1,392 ftsq"
#14C,"Off-Market on 11/16/2015 at $2,800",studio,1 bath,687 ftsq
#14D,"Off-Market on 11/04/2018 at $3,000",2 beds,1 bath,642 ftsq
#14E,"Sold on 01/31/2014 for $1,190,000",2 beds,2 baths,"1,140 ftsq"
#14F,"Sold on 02/01/2007 for $643,788",,,
#14G,"Sold on 09/27/2018 for $1,175,000",2 beds,2 baths,"1,125 ftsq"
#15A/B,"Sold on 10/15/2008 for $1,857,762",,,
#15AB,"Off-Market on 06/07/2016 at $3,845,000",3 beds,3 baths,
#15C,"Sold on 03/20/2007 for $1,103,426",,,
#15D,"Off-Market on 04/05/2017 at $2,300",studio,1 bath,
#15E,"Sold on 12/13/2011 for $690,000",2 beds,2 baths,989 ftsq
#DK,"Off-Market on 07/18/2014 at $2,580",studio,1 bath,
#16A,"Sold on 05/20/2008 for $1,188,095",2 beds,2 baths,"1,179 ftsq"
#16B,"Off-Market on 05/23/2017 at $5,000",2 beds,2 baths,"1,031 ftsq"
#16C,Sold on 11/29/2018 for $0,1 bed,2 baths,975 ftsq
#16D,"Sold on 10/27/2016 for $515,000",studio,1 bath,302 ftsq
#16E,"Listed for sale at $1,100,000",2 beds,2 baths,984 ftsq
16BFURNISH,"Off-Market on 12/02/2015 at $6,000",2 beds,2 baths,928 ftsq
#17,"Off-Market on 04/16/2009 at $3,500",2 beds,2 baths,
#ALC,"Off-Market on 08/31/2010 at $2,150",studio,1 bath,
#17A,"Sold on 07/26/2007 for $1,179,031",,,
#17B,Sold on 10/04/2018 for $0,2 beds,2 baths,920 ftsq
#17C,"Off-Market on 08/19/2016 at $4,950",2 beds,2 baths,
#17D,"Sold on 04/26/2017 for $1,240,000",1 bed,2 baths,"1,099 ftsq"
#18A,"Sold on 05/02/2014 for $1,225,000",2 beds,2 baths,"1,066 ftsq"
#18B,"Sold on 08/01/2007 for $969,374",,,
#18C,"Sold on 08/03/2015 for $1,375,000",2 beds,2 baths,"1,004 ftsq"
#18D,"Off-Market on 10/26/2018 at $1,450,000",2 beds,2 baths,"1,090 ftsq"
#19A,Sold on 10/06/2017 for $0,,,
#19B,"Sold on 06/18/2013 for $1,247,500",2 beds,2 baths,"1,031 ftsq"
#19C,"Sold on 02/13/2015 for $1,325,000",2 beds,2 baths,"1,105 ftsq"
#19F,"Off-Market on 06/09/2016 at $3,850",3 beds,1 bath,
#20A,"Sold on 11/10/2014 for $1,340,000",2 beds,2 baths,"1,079 ftsq"
#20B,"Sold on 10/16/2012 for $962,500",2 beds,2 baths,950 ftsq
#20C,"Sold on 06/13/2012 for $900,000",1 bed,2 baths,"1,177 ftsq"
#20CFUR,"Off-Market on 05/21/2010 at $5,000",1 bed,2 baths,"1,177 ftsq"
#21A,"Sold on 06/27/2017 for $1,150,000",1 bed,2 baths,973 ftsq
#21B,"Off-Market on 08/07/2014 at $4,900",2 beds,2 baths,
#21C,"Sold on 01/04/2017 for $1,150,000",2 beds,2 baths,982 ftsq
#22A,"Sold on 02/21/2007 for $781,201",,,
#22B,"Sold on 06/04/2007 for $669,804",,,
#22C,"Off-Market on 06/25/2018 at $4,000",1 bed,2 baths,939 ftsq
#23A,"Off-Market on 08/03/2018 at $3,500",1 bed,1 bath,677 ftsq
#23B,"Sold on 04/30/2008 for $693,735",1 bed,1 bath,586 ftsq
#23C,"Sold on 07/02/2008 for $956,034",1 bed,2 baths,938 ftsq
#24A,"Sold on 06/19/2009 for $79,999",,,
#28A,"Off-Market on 01/25/2015 at $3,250",1 bed,1 bath,
#COM1,"Sold on 06/06/2014 for $7,000,000",,,
#COM2,"Sold on 06/06/2014 for $7,000,000",,,
#GARGE,Sold on 09/02/2010 for $0,,,
#111,Off-Market,,,
#521,"Off-Market on 09/09/2012 at $2,500",2 beds,1 bath,
#1810,"Off-Market on 02/01/2015 at $2,675",studio,1 bath,
#2412,"Off-Market on 01/25/2015 at $3,280",1 bed,1 bath,
