#1,"Off-Market on 09/10/2013 at $3,425",3 beds,1 bath,"1,000 ftsq"
#2,"Off-Market on 03/09/2011 at $2,650",2 beds,1 bath,
#4,"Off-Market on 10/20/2013 at $3,050",3 beds,1 bath,800 ftsq
#6B,"Off-Market on 08/01/2013 at $3,050",2 beds,1 bath,
#8B,"Off-Market on 12/20/2013 at $3,025",1 bed,1 bath,
#12M,"Off-Market on 06/12/2014 at $2,595",studio,1 bath,544 ftsq
#13,"Off-Market on 01/28/2013 at $2,736",1 bed,1 bath,
#15B,"Off-Market on 11/04/2013 at $3,000",2 beds,1 bath,
#16,"Off-Market on 10/09/2013 at $4,400",2 beds,1 bath,
#P,"Off-Market on 07/02/2013 at $6,795",3 beds,3 baths,
#18,"Off-Market on 10/17/2013 at $4,400",studio,1 bath,
#19,"Off-Market on 12/09/2013 at $2,350",studio,1 bath,675 ftsq
#21,"Off-Market on 08/28/2013 at $4,345",4 beds,1 bath,950 ftsq
#22,"Off-Market on 09/08/2010 at $3,140",2 beds,1 bath,866 ftsq
#22L,"Off-Market on 04/28/2015 at $3,675",1 bed,1 bath,
#23,"Off-Market on 09/25/2013 at $2,995",studio,1 bath,754 ftsq
#26N,"Off-Market on 05/12/2015 at $5,175",studio,1 bath,
#RES,Sold on 09/13/2018 for $0,,,"214,364 ftsq"
#COMM,Sold on 09/13/2018 for $0,,,"130,550 ftsq"
#112,"Off-Market on 09/20/2011 at $2,500",1 bed,1 bath,
#170,"Off-Market on 07/03/2013 at $3,250",2 beds,1 bath,
#178,"Off-Market on 07/11/2013 at $3,100",2 beds,1 bath,700 ftsq
#820,"Off-Market on 05/12/2014 at $2,695",studio,1 bath,
NA_1514,Off-Market,,,
NA_1515,Off-Market,,,
NA_2252,Off-Market,,,
NA_4945,Off-Market,,,
NA_5959,Off-Market,,,
NA_6599,Off-Market,,,
NA_6620,Off-Market,,,
NA_6765,Off-Market,,,
NA_6775,Off-Market,,,
NA_8117,Off-Market,,,
NA_8132,Off-Market,,,
NA_8761,Off-Market,,,
NA_11951,Off-Market,,,
NA_15863,Off-Market,,,
NA_16085,Off-Market,,,
NA_16087,Off-Market,,,
NA_16534,Off-Market,,,
NA_16894,Off-Market,,,
NA_19747,Off-Market,,,
NA_25906,Off-Market,,,
NA_27335,Off-Market,,,
NA_33677,Off-Market,,,
NA_43884,Off-Market,,,
NA_70399,Off-Market,,,
NA_166305,Off-Market,,,
#1208,"Off-Market on 03/02/2012 at $2,937",3 beds,1 bath,
#1213,"Off-Market on 05/28/2013 at $2,800",2 beds,1 bath,
#1234,"Off-Market on 07/25/2013 at $3,200",2 beds,1 bath,
#1401,"Off-Market on 01/14/2014 at $3,995",3 beds,2 baths,"1,100 ftsq"
#1402,"Off-Market on 06/01/2018 at $3,226",studio,1 bath,659 ftsq
#1403,"Off-Market on 06/10/2017 at $3,200",2 beds,1 bath,
#1404,Off-Market,,,700 ftsq
#1407,"Off-Market on 05/10/2017 at $2,792",studio,1 bath,564 ftsq
#1408,"Listed for rent at $3,554",1 bed,1 bath,750 ftsq
#1409,"Off-Market on 02/23/2016 at $2,678",studio,1 bath,634 ftsq
#1410,"Off-Market on 02/23/2016 at $2,957",studio,1 bath,
#1411,"Off-Market on 06/26/2010 at $3,499",3 beds,1 bath,725 ftsq
#1412,"Off-Market on 11/27/2018 at $3,000",studio,1 bath,692 ftsq
#1413,"Off-Market on 01/14/2014 at $3,300",studio,1 bath,618 ftsq
#1414,"Off-Market on 07/03/2014 at $2,750",studio,1 bath,520 ftsq
#1416,"Off-Market on 01/30/2014 at $2,800",studio,1 bath,500 ftsq
#1417,"Off-Market on 07/17/2013 at $4,153",studio,1 bath,734 ftsq
#1503,"Off-Market on 12/06/2016 at $2,721",studio,1 bath,604 ftsq
