#0,"Off-Market on 01/12/2010 at $2,695",1 bed,1 bath,670 ftsq
#,Off-Market,,,650 ftsq
#1,"Sold on 04/09/2010 for $73,123,490",studio,1 bath,520 ftsq
1BEDROOM,"Sold on 01/12/2009 for $775,000",1 bed,1 bath,791 ftsq
#2,"Sold on 04/09/2010 for $73,123,490",,,
2BEDROOM,"Sold on 01/12/2009 for $975,000",2 beds,2 baths,936 ftsq
2-BEDROOM,Off-Market,,,
3BEDROOM,"Sold on 10/03/2009 for $1,675,000",3 beds,3 baths,"1,554 ftsq"
#C1,"Sold on 06/17/2013 for $63,374,561",,,
#C2,"Sold on 06/17/2013 for $63,374,561",,,
#C3,"Sold on 06/17/2013 for $63,374,561",,,
#4F,"Off-Market on 11/01/2010 at $1,995",studio,1 bath,598 ftsq
#4M,"Off-Market on 06/23/2015 at $2,475",studio,1 bath,477 ftsq
#5E,Off-Market,,,810 ftsq
#6,"Off-Market on 12/13/2013 at $2,900",1 bed,1 bath,713 ftsq
#8,Off-Market,,,819 ftsq
#9,Off-Market,,,564 ftsq
#9J,"Off-Market on 11/17/2009 at $3,700",3 beds,2 baths,
#10,"Off-Market on 05/27/2016 at $3,000",studio,1 bath,
#11,"Off-Market on 01/09/2014 at $605,000",studio,1 bath,
15UNITS,"Off-Market on 11/17/2009 at $10,430,000",10 beds,16 baths,
#20,"Sold on 06/17/2013 for $63,374,561",2 beds,2 baths,"1,554 ftsq"
#V,"Off-Market on 04/22/2013 at $2,650",studio,1 bath,
#V323,"Off-Market on 11/27/2017 at $3,400",2 beds,1 bath,
#COM,"Sold on 04/09/2010 for $73,123,490",,,
#COM1,"Sold on 04/09/2010 for $73,123,490",,,
#COM2,"Sold on 04/09/2010 for $73,123,490",,,
APT-724,"Off-Market on 06/06/2014 at $3,500",studio,1 bath,620 ftsq
#RU,"Sold on 04/09/2010 for $73,123,490",,,
#RET,"Sold on 04/09/2010 for $73,123,490",,,
#RET2,"Sold on 04/09/2010 for $73,123,490",,,
#RET3,"Sold on 04/09/2010 for $73,123,490",,,
#RET4,"Sold on 04/09/2010 for $73,123,490",,,
#RET5,"Sold on 04/09/2010 for $73,123,490",,,
#RET6,"Sold on 04/09/2010 for $73,123,490",,,
#RET7,"Sold on 04/09/2010 for $73,123,490",,,
#COMM,"Sold on 04/09/2010 for $73,123,490",,,
#COMMA,"Sold on 04/09/2010 for $73,123,490",,,
#COMMB,"Sold on 04/09/2010 for $73,123,490",,,
#COMMC,"Sold on 04/09/2010 for $73,123,490",,,
