#2A,"Off-Market on 07/19/2018 at $4,875",2 beds,2 baths,
#2C,"Off-Market on 03/13/2014 at $3,780",2 beds,2 baths,
#2BED,"Off-Market on 09/16/2018 at $2,900",studio,1 bath,
#2BEDS,"Off-Market on 08/15/2011 at $3,873",2 beds,2 baths,
#2BRS,Off-Market,,,
2-BEDROOMS,Off-Market,,,
#3A,"Off-Market on 08/07/2018 at $4,875",2 beds,2 baths,
#3B,"Off-Market on 03/11/2015 at $3,738",2 beds,2 baths,
#3C,"Off-Market on 03/13/2017 at $4,275",2 beds,2 baths,
#3D,"Off-Market on 08/15/2017 at $2,800",studio,1 bath,
#3E,"Off-Market on 01/24/2017 at $2,550",studio,1 bath,
#4A,"Off-Market on 03/24/2014 at $3,965",2 beds,2 baths,
#4B,"Off-Market on 12/09/2016 at $3,728",2 beds,2 baths,
#4C,"Off-Market on 01/09/2018 at $4,575",2 beds,2 baths,
#4D,"Listed for rent at $2,500",studio,1 bath,
#4E,"Off-Market on 05/09/2018 at $2,800",studio,1 bath,
#5A,"Off-Market on 05/17/2017 at $4,795",2 beds,2 baths,
#5B,"Off-Market on 08/30/2018 at $4,875",2 beds,2 baths,
#5C,"Listed for rent at $4,025",2 beds,2 baths,
#5D,"Off-Market on 02/17/2017 at $2,650",studio,1 bath,
#5E,"Off-Market on 09/18/2018 at $2,925",studio,1 bath,
#E,Off-Market,,,
#6A,"Off-Market on 12/03/2017 at $4,600",2 beds,2 baths,
#6B,"Off-Market on 01/28/2017 at $4,195",2 beds,2 baths,
#6C,"Off-Market on 12/11/2018 at $4,900",2 beds,2 baths,
#6D,"Off-Market on 08/25/2011 at $2,590",studio,1 bath,
#6E,"Off-Market on 08/18/2015 at $2,795",studio,1 bath,
#7A,"Off-Market on 01/25/2017 at $4,195",2 beds,2 baths,
#7B,"Off-Market on 01/25/2017 at $4,195",2 beds,2 baths,
#7C,"Off-Market on 10/09/2018 at $5,000",2 beds,2 baths,
#7D,"Off-Market on 08/25/2011 at $2,411",studio,1 bath,
#7E,"Off-Market on 09/28/2016 at $2,650",studio,1 bath,
#8A,"Off-Market on 01/05/2017 at $4,345",2 beds,2 baths,
#8B,"Off-Market on 11/23/2018 at $4,800",2 beds,2 baths,
#8C,"Off-Market on 07/01/2016 at $4,518",2 beds,2 baths,
#8D,"Off-Market on 07/30/2018 at $2,925",studio,1 bath,
#8E,"Off-Market on 07/15/2016 at $2,672",studio,1 bath,
#9A,"Off-Market on 09/09/2013 at $4,263",2 beds,2 baths,
#9B,"Off-Market on 11/05/2018 at $4,800",2 beds,2 baths,
#9C,"Off-Market on 01/18/2018 at $4,800",2 beds,2 baths,
#9D,"Off-Market on 01/18/2018 at $2,850",studio,1 bath,
#9E,"Off-Market on 03/11/2018 at $2,850",studio,1 bath,
#10A,"Off-Market on 08/18/2018 at $4,975",2 beds,2 baths,
#10B,"Off-Market on 02/11/2017 at $4,395",2 beds,2 baths,
#10C,"Off-Market on 05/19/2017 at $4,900",2 beds,2 baths,
#10D,"Off-Market on 10/09/2018 at $5,000",2 beds,2 baths,
#11A,"Off-Market on 01/23/2018 at $4,200",studio,1 bath,
#11B,"Off-Market on 04/23/2013 at $4,029",2 beds,2 baths,
#11C,"Off-Market on 02/23/2015 at $4,057",2 beds,2 baths,
#11D,"Off-Market on 10/19/2018 at $4,800",2 beds,2 baths,
#12A,"Off-Market on 07/30/2018 at $5,000",2 beds,2 baths,
#12B,"Off-Market on 02/11/2017 at $4,495",2 beds,2 baths,
#12C,"Off-Market on 07/03/2018 at $4,995",2 beds,2 baths,
#12D,"Off-Market on 10/20/2017 at $4,444",2 beds,2 baths,
#12E,"Off-Market on 03/19/2018 at $4,600",2 beds,2 baths,
#14B,"Off-Market on 11/27/2018 at $5,150",2 beds,2 baths,
#17,"Off-Market on 06/01/2013 at $3,900",2 beds,2 baths,
#19A,"Off-Market on 05/19/2014 at $3,075",1 bed,1 bath,
2-BED-2-BAT,Off-Market,,,
#26B,"Off-Market on 03/26/2014 at $3,195",1 bed,1 bath,800 ftsq
#GS,"Off-Market on 04/18/2014 at $4,195",2 beds,2 baths,
#COR,"Off-Market on 03/26/2014 at $3,980",2 beds,2 baths,
#STU,"Off-Market on 08/15/2011 at $2,305",studio,1 bath,
NA_8428,Off-Market,,,
NA_42439,Off-Market,,,
NA_62864,Off-Market,,,
NA_152065,Off-Market,,,
NA_152729,Off-Market,,,
#PH,Off-Market,,,
#PHA,"Off-Market on 04/17/2017 at $4,995",2 beds,2 baths,
#PHB,"Off-Market on 10/09/2018 at $5,150",2 beds,2 baths,
#PHC,"Off-Market on 10/27/2018 at $5,225",2 beds,2 baths,
#PHD,"Off-Market on 08/27/2018 at $5,075",2 beds,2 baths,
2BED2BATH,Off-Market,,,
#PH2BED,Off-Market,,,
