#0,"Off-Market on 04/29/2010 at $2,400",2 beds,1 bath,
#1,"Off-Market on 10/29/2014 at $2,200",studio,1 bath,
#1A,"Off-Market on 12/24/2014 at $1,900",studio,1 bath,
#1BRFLX,"Off-Market on 01/22/2013 at $2,495",2 beds,1 bath,
#2,"Off-Market on 01/09/2013 at $2,200",2 beds,1 bath,
#A,"Off-Market on 07/10/2015 at $4,195",3 beds,2 baths,
#A108,"Off-Market on 01/13/2015 at $2,300",1 bed,1 bath,
#A111,"Off-Market on 01/08/2015 at $1,899",studio,1 bath,
#A120,"Off-Market on 01/13/2015 at $2,300",1 bed,1 bath,
#A125,"Off-Market on 02/06/2015 at $2,550",1 bed,1 bath,
#A314,"Off-Market on 12/13/2014 at $4,000",4 beds,2 baths,
#A412,"Off-Market on 12/27/2014 at $2,300",2 beds,1 bath,
#A419,"Off-Market on 02/06/2015 at $2,500",1 bed,1 bath,
#A422,"Off-Market on 12/13/2014 at $2,450",2 beds,1 bath,
#A521,"Off-Market on 01/13/2015 at $2,600",1 bed,1 bath,
#A712,"Off-Market on 04/01/2014 at $2,200",2 beds,1 bath,
#3,"Off-Market on 12/04/2015 at $2,595",2 beds,1 bath,800 ftsq
#3G,"Off-Market on 01/16/2015 at $4,000",3 beds,2 baths,
#4,"Off-Market on 12/04/2015 at $2,595",2 beds,1 bath,
#5,"Off-Market on 01/01/2013 at $2,400",2 beds,1 bath,725 ftsq
#6,"Off-Market on 07/20/2015 at $4,475",2 beds,1 bath,
#6,Off-Market,,,
#7,"Off-Market on 04/01/2014 at $2,400",studio,1 bath,535 ftsq
#F6,"Off-Market on 04/13/2014 at $3,750",2 beds,1 bath,"1,350 ftsq"
#8,"Off-Market on 04/07/2010 at $1,800",studio,1 bath,
#9,"Off-Market on 12/19/2013 at $2,300",2 beds,1 bath,610 ftsq
#10,"Off-Market on 04/29/2014 at $2,000",studio,1 bath,
#11,"Off-Market on 04/30/2010 at $1,700",studio,1 bath,610 ftsq
#12,"Off-Market on 12/04/2015 at $2,300",studio,1 bath,535 ftsq
#L,"Off-Market on 06/25/2014 at $2,250",studio,1 bath,
#L2,"Off-Market on 11/09/2012 at $2,300",2 beds,1 bath,
#L9,"Off-Market on 07/02/2014 at $1,800",2 beds,1 bath,
#L11,"Off-Market on 09/26/2014 at $2,150",studio,1 bath,
#L14,"Off-Market on 07/10/2015 at $2,500",2 beds,1 bath,
#L15,"Off-Market on 01/19/2013 at $1,800",studio,1 bath,
#14,"Off-Market on 06/17/2011 at $2,200",1 bed,1 bath,600 ftsq
#14E,"Off-Market on 02/20/2015 at $2,500",studio,1 bath,
#L12A,"Off-Market on 03/16/2015 at $1,950",2 beds,1 bath,
#L14A,"Off-Market on 02/06/2015 at $2,400",1 bed,1 bath,
#15,"Off-Market on 12/04/2015 at $2,395",2 beds,1 bath,
#16,"Off-Market on 07/22/2015 at $3,995",3 beds,2 baths,
#17,"Off-Market on 07/29/2015 at $2,995",2 beds,2 baths,
#P2,"Off-Market on 01/28/2013 at $2,350",2 beds,1 bath,800 ftsq
#18,"Off-Market on 01/28/2013 at $2,295",1 bed,1 bath,
#19,"Off-Market on 10/18/2013 at $2,400",2 beds,1 bath,
#21,"Off-Market on 04/18/2014 at $2,200",1 bed,1 bath,
#22,"Off-Market on 10/24/2013 at $2,400",1 bed,1 bath,
#24,"Off-Market on 04/17/2014 at $2,400",2 beds,1 bath,
#25,"Off-Market on 12/04/2015 at $2,275",2 beds,1 bath,
#X,"Off-Market on 03/21/2014 at $2,100",studio,1 bath,
#LL2,"Off-Market on 02/22/2018 at $2,400",2 beds,1 bath,
#26,"Off-Market on 11/30/2015 at $2,995",2 beds,1 bath,
#27,"Off-Market on 12/04/2015 at $3,395",3 beds,1 bath,
#28,"Off-Market on 07/10/2015 at $4,200",3 beds,2 baths,
#34EDW,"Off-Market on 08/08/2012 at $2,175",2 beds,1 bath,
APT-224,"Off-Market on 01/22/2014 at $2,250",1 bed,1 bath,
APT-326,"Off-Market on 02/26/2014 at $2,200",studio,1 bath,
APT-426,"Off-Market on 02/22/2014 at $2,350",1 bed,1 bath,
APT-503,"Off-Market on 01/22/2014 at $2,450",1 bed,1 bath,
#APT519,"Off-Market on 05/14/2014 at $2,400",1 bed,1 bath,
APT-716,"Off-Market on 02/26/2014 at $3,000",1 bed,1 bath,
#ST326,"Off-Market on 04/04/2014 at $2,000",studio,1 bath,
#42,"Off-Market on 06/27/2010 at $2,000",2 beds,1 bath,
#51,"Off-Market on 12/04/2015 at $2,295",1 bed,1 bath,
LOFT202,"Off-Market on 08/25/2012 at $2,055",studio,1 bath,
#60,"Off-Market on 12/04/2015 at $2,995",2 beds,1 bath,
#DUPX2,"Off-Market on 08/25/2012 at $2,390",2 beds,1 bath,
#7-6,"Off-Market on 09/19/2017 at $4,700",4 beds,2 baths,
#7I6,"Off-Market on 03/21/2014 at $2,595",1 bed,1 bath,
#101,"Off-Market on 06/02/2015 at $2,300",3 beds,1 bath,
#102,"Off-Market on 07/09/2015 at $2,300",1 bed,1 bath,
#108,"Off-Market on 11/23/2014 at $2,300",2 beds,1 bath,
#109,"Off-Market on 04/24/2010 at $1,900",studio,1 bath,
#111,"Listed for rent at $2,250",studio,1 bath,700 ftsq
#111A,"Off-Market on 02/06/2015 at $1,995",studio,1 bath,
#111B,"Off-Market on 12/13/2014 at $1,900",studio,1 bath,
#112,"Off-Market on 04/10/2014 at $2,300",2 beds,1 bath,
#112A,"Off-Market on 03/19/2014 at $2,350",2 beds,1 bath,
#112QW,"Off-Market on 07/19/2012 at $1,889",studio,1 bath,
#114,"Off-Market on 02/05/2014 at $2,300",3 beds,1 bath,
#115,"Off-Market on 01/13/2015 at $2,500",2 beds,1 bath,
#116,"Off-Market on 08/30/2016 at $4,600",3 beds,2 baths,
#117,"Off-Market on 07/23/2018 at $2,695",2 beds,2 baths,
#117A,"Off-Market on 07/09/2015 at $3,100",2 beds,1 bath,
#118,"Off-Market on 11/09/2012 at $2,600",2 beds,1 bath,
#120,"Off-Market on 09/24/2013 at $2,400",2 beds,1 bath,
#121,"Off-Market on 04/09/2014 at $2,300",2 beds,1 bath,
#122,"Off-Market on 08/19/2014 at $2,395",2 beds,1 bath,
#125,"Off-Market on 10/08/2010 at $2,300",2 beds,1 bath,
#12-7,"Off-Market on 06/17/2014 at $2,350",studio,1 bath,
#202,"Off-Market on 04/18/2013 at $1,955",studio,1 bath,
#203,"Off-Market on 03/02/2017 at $3,310",3 beds,1 bath,
#204,"Listed for rent at $2,800",2 beds,1 bath,
#204A,"Off-Market on 10/29/2015 at $2,800",2 beds,1 bath,
#205,"Off-Market on 01/13/2015 at $2,695",2 beds,1 bath,
#206,"Off-Market on 02/12/2017 at $2,597",3 beds,2 baths,
#206A,"Off-Market on 08/03/2015 at $3,895",3 beds,1 bath,
#207,"Off-Market on 09/16/2017 at $2,400",2 beds,1 bath,
#208,"Off-Market on 09/20/2016 at $4,225",3 beds,1 bath,
#208A,"Off-Market on 10/13/2015 at $2,250",studio,1 bath,
#209,"Off-Market on 07/08/2013 at $2,300",2 beds,1 bath,
#210,"Off-Market on 02/05/2018 at $2,300",studio,1 bath,500 ftsq
#212A,"Off-Market on 02/06/2015 at $2,199",studio,1 bath,
#21-3,"Off-Market on 02/26/2014 at $2,200",studio,1 bath,
#214,"Off-Market on 06/02/2015 at $2,595",2 beds,1 bath,
#215A,"Off-Market on 08/01/2015 at $3,900",3 beds,1 bath,
#217,"Off-Market on 05/27/2014 at $3,100",3 beds,1 bath,625 ftsq
#218,"Off-Market on 03/25/2016 at $2,495",2 beds,1 bath,
#222A,"Off-Market on 08/03/2015 at $2,495",1 bed,1 bath,
#224,"Listed for rent at $2,650",2 beds,1 bath,
#226,"Off-Market on 09/15/2014 at $2,495",2 beds,1 bath,
