#7A,"Off-Market on 04/30/2017 at $2,900",studio,1 bath,
#7D,"Off-Market on 04/02/2018 at $3,550",1 bed,1 bath,
#7G,"Off-Market on 07/03/2015 at $3,600",1 bed,1 bath,
#8A,"Off-Market on 01/31/2014 at $2,700",studio,1 bath,
#8D,"Off-Market on 02/22/2017 at $3,495",1 bed,1 bath,
#9F,"Off-Market on 10/06/2015 at $3,600",1 bed,1 bath,
#9G,"Off-Market on 04/13/2018 at $3,800",1 bed,1 bath,
#10A,"Off-Market on 06/16/2018 at $2,895",studio,1 bath,600 ftsq
#10F,"Off-Market on 12/27/2017 at $3,550",1 bed,1 bath,775 ftsq
#10G,"Off-Market on 08/26/2018 at $3,795",1 bed,1 bath,800 ftsq
#11A,"Off-Market on 03/09/2016 at $2,950",studio,1 bath,
#11F,"Off-Market on 07/06/2015 at $3,450",1 bed,1 bath,
#11G,"Off-Market on 11/07/2018 at $3,795",1 bed,1 bath,800 ftsq
#12A,"Off-Market on 06/15/2018 at $2,950",studio,1 bath,
#12D,"Off-Market on 04/27/2017 at $3,795",1 bed,1 bath,
#12F,"Off-Market on 02/03/2017 at $3,700",1 bed,1 bath,700 ftsq
#12G,"Off-Market on 04/13/2018 at $3,850",1 bed,1 bath,
#14F,"Off-Market on 08/19/2018 at $3,995",1 bed,1 bath,700 ftsq
#14G,"Off-Market on 04/30/2017 at $3,895",1 bed,1 bath,
#15A,"Off-Market on 07/17/2018 at $3,095",studio,1 bath,600 ftsq
#15C,"Off-Market on 01/31/2014 at $2,500",studio,1 bath,
#15D,"Off-Market on 04/09/2016 at $3,895",1 bed,1 bath,
#16A,"Off-Market on 05/27/2016 at $3,095",studio,1 bath,
#16C,"Off-Market on 12/13/2014 at $2,495",studio,1 bath,500 ftsq
#16D,"Off-Market on 07/18/2017 at $3,850",1 bed,1 bath,
#16E,"Off-Market on 12/05/2016 at $2,580",studio,1 bath,
#17A,"Off-Market on 04/07/2015 at $3,195",studio,1 bath,
#17C,"Off-Market on 10/06/2015 at $2,895",studio,1 bath,500 ftsq
#17D,"Off-Market on 03/26/2014 at $3,800",1 bed,1 bath,
#18A,"Off-Market on 05/08/2016 at $3,095",studio,1 bath,
#18B,"Off-Market on 08/19/2018 at $2,995",studio,1 bath,500 ftsq
#18C,"Off-Market on 01/10/2018 at $2,925",studio,1 bath,
#18G,"Off-Market on 10/18/2018 at $4,250",1 bed,1 bath,800 ftsq
#19B,"Listed for rent at $2,900",studio,1 bath,500 ftsq
#19C,"Off-Market on 07/30/2018 at $3,095",studio,1 bath,
#19E,"Off-Market on 12/27/2017 at $2,850",studio,1 bath,
#19F,"Off-Market on 07/17/2018 at $5,750",2 beds,2 baths,"1,000 ftsq"
#19G,"Off-Market on 04/07/2014 at $3,738",1 bed,1 bath,
#20B,"Off-Market on 06/12/2015 at $2,995",studio,1 bath,
#20C,"Off-Market on 06/10/2017 at $3,195",studio,1 bath,
#20E,"Off-Market on 07/18/2017 at $2,677",studio,1 bath,
#20F,"Off-Market on 12/28/2016 at $4,778",2 beds,2 baths,
#20G,"Off-Market on 04/22/2014 at $3,877",1 bed,1 bath,
#21A,"Off-Market on 06/17/2014 at $3,200",studio,1 bath,
#21B,"Off-Market on 03/29/2014 at $2,860",studio,1 bath,
#21C,"Off-Market on 05/08/2016 at $2,995",studio,1 bath,
#21D,"Off-Market on 03/04/2014 at $3,850",1 bed,1 bath,
#21E,"Off-Market on 04/05/2014 at $2,520",studio,1 bath,
#21F,"Off-Market on 12/04/2017 at $5,400",2 beds,2 baths,
#21G,"Off-Market on 05/05/2017 at $4,250",1 bed,1 bath,
#22A,"Off-Market on 02/22/2017 at $3,092",studio,1 bath,
#22B,"Off-Market on 03/29/2014 at $2,890",studio,1 bath,
#22C,"Off-Market on 04/01/2017 at $2,815",studio,1 bath,
#22D,"Off-Market on 02/21/2014 at $3,600",1 bed,1 bath,
#22E,"Off-Market on 03/29/2014 at $2,760",studio,1 bath,
#22F,"Off-Market on 10/19/2017 at $4,985",2 beds,2 baths,
#22G,"Off-Market on 04/22/2014 at $3,877",1 bed,1 bath,
#23A,"Off-Market on 10/18/2018 at $3,250",studio,1 bath,600 ftsq
#23B,"Off-Market on 10/09/2018 at $3,095",studio,1 bath,500 ftsq
#23C,"Off-Market on 09/16/2017 at $3,250",studio,1 bath,500 ftsq
#23D,"Off-Market on 03/29/2014 at $3,950",1 bed,1 bath,
#23E,"Off-Market on 07/18/2017 at $2,850",studio,1 bath,
#23F,"Off-Market on 09/10/2016 at $5,350",2 beds,2 baths,
#23G,"Off-Market on 04/13/2014 at $3,923",1 bed,1 bath,
#24A,"Off-Market on 03/29/2014 at $3,250",studio,1 bath,
#24B,"Off-Market on 12/27/2016 at $2,764",studio,1 bath,
#24D,"Off-Market on 03/29/2014 at $4,100",1 bed,1 bath,
#24E,"Off-Market on 08/13/2018 at $3,050",studio,1 bath,450 ftsq
#24F,"Off-Market on 12/14/2018 at $5,395",2 beds,2 baths,"1,000 ftsq"
#24G,"Off-Market on 04/02/2018 at $4,100",1 bed,1 bath,
#24H,"Off-Market on 05/20/2015 at $6,400",2 beds,2 baths,
#25A,"Off-Market on 08/26/2018 at $3,250",studio,1 bath,600 ftsq
#25B,"Off-Market on 04/22/2014 at $2,980",studio,1 bath,
#25C,"Off-Market on 03/29/2014 at $3,070",studio,1 bath,
#25E,"Off-Market on 03/29/2014 at $2,850",studio,1 bath,
#25F,"Off-Market on 12/27/2016 at $5,169",2 beds,2 baths,
#25G,"Off-Market on 08/19/2018 at $4,295",1 bed,1 bath,800 ftsq
#26A,"Off-Market on 05/12/2015 at $3,395",studio,1 bath,
#26B,"Off-Market on 06/15/2018 at $3,000",studio,1 bath,
#26C,"Off-Market on 03/06/2018 at $3,250",studio,1 bath,
#26E,"Off-Market on 03/29/2014 at $2,880",studio,1 bath,
#26F,"Off-Market on 07/07/2014 at $5,229",2 beds,2 baths,
#26G,"Off-Market on 10/31/2016 at $3,925",1 bed,1 bath,
#27B,"Listed for rent at $2,861",studio,1 bath,500 ftsq
#27C,"Off-Market on 07/30/2018 at $3,275",studio,1 bath,500 ftsq
#27D,"Off-Market on 02/01/2018 at $4,300",1 bed,1 bath,
#27F,"Off-Market on 07/07/2014 at $5,314",2 beds,2 baths,
#27G,"Off-Market on 05/23/2014 at $4,250",1 bed,1 bath,
#28A,"Off-Market on 09/14/2015 at $3,400",studio,1 bath,
#28B,"Off-Market on 10/18/2016 at $2,907",studio,1 bath,
#28C,"Off-Market on 04/22/2014 at $3,160",studio,1 bath,
#28D,"Off-Market on 08/21/2017 at $4,595",1 bed,1 bath,700 ftsq
#28E,"Listed for rent at $2,746",studio,1 bath,450 ftsq
#28F,"Off-Market on 04/20/2016 at $5,815",2 beds,2 baths,
#28G,"Off-Market on 07/30/2018 at $4,325",1 bed,1 bath,800 ftsq
#29A,"Off-Market on 06/09/2015 at $3,550",studio,1 bath,
#29B,"Off-Market on 09/13/2018 at $2,950",studio,1 bath,500 ftsq
#29C,"Off-Market on 08/11/2015 at $3,250",studio,1 bath,
#29D,"Off-Market on 05/16/2017 at $4,450",1 bed,1 bath,725 ftsq
#29E,"Off-Market on 04/22/2014 at $2,742",studio,1 bath,
#29F,"Off-Market on 09/21/2015 at $5,900",2 beds,2 baths,
#29G,"Off-Market on 08/14/2017 at $4,395",1 bed,1 bath,800 ftsq
#30B,"Off-Market on 09/21/2015 at $3,092",studio,1 bath,
#30C,"Off-Market on 06/28/2018 at $3,350",studio,1 bath,500 ftsq
#30D,"Off-Market on 10/27/2017 at $4,315",1 bed,1 bath,700 ftsq
#30E,"Off-Market on 11/18/2016 at $2,856",studio,1 bath,
#30CC,Off-Market,,,600 ftsq
#30F,"Off-Market on 06/17/2014 at $5,571",2 beds,2 baths,
#30G,"Off-Market on 08/15/2015 at $4,300",1 bed,1 bath,
#31B,"Off-Market on 06/28/2018 at $3,000",studio,1 bath,450 ftsq
#31C,"Off-Market on 06/09/2015 at $3,300",studio,1 bath,
#31E,"Off-Market on 04/22/2014 at $3,046",studio,1 bath,
#31F,"Off-Market on 06/17/2014 at $5,743",2 beds,2 baths,
#31G,"Off-Market on 06/17/2014 at $4,700",1 bed,1 bath,
APT-31B,Off-Market,studio,1 bath,450 ftsq
#VAR1,"Off-Market on 01/30/2014 at $3,600",1 bed,1 bath,
#VAR2,"Off-Market on 01/30/2014 at $6,100",2 beds,2 baths,
VAR-STUDIO,"Off-Market on 01/30/2014 at $2,730",studio,1 bath,
#1918,"Off-Market on 07/10/2014 at $4,500",2 beds,2 baths,
#PHB,"Off-Market on 07/30/2018 at $3,275",studio,1 bath,450 ftsq
#PHC,"Off-Market on 02/22/2017 at $3,000",studio,1 bath,
#PHD,"Off-Market on 08/22/2015 at $4,500",1 bed,1 bath,
#PHE,"Off-Market on 06/10/2017 at $3,300",studio,1 bath,
#PHF,"Off-Market on 09/21/2015 at $5,995",2 beds,2 baths,
