#1,"Off-Market on 03/09/2010 at $2,895",studio,1 bath,650 ftsq
#1BR,"Off-Market on 11/18/2013 at $3,350",1 bed,1 bath,750 ftsq
#2,"Off-Market on 05/14/2013 at $2,995",1 bed,1 bath,600 ftsq
#A,"Off-Market on 11/18/2014 at $3,095",1 bed,1 bath,600 ftsq
#2B,"Off-Market on 11/09/2010 at $2,895",studio,1 bath,850 ftsq
#A4,"Off-Market on 11/11/2015 at $3,688",1 bed,1 bath,
#2E,"Off-Market on 04/17/2010 at $2,895",1 bed,1 bath,600 ftsq
#2F,"Off-Market on 11/27/2017 at $3,400",1 bed,1 bath,612 ftsq
#2G,"Off-Market on  at $4,500",1 bed,1 bath,622 ftsq
#2H,"Off-Market on 02/28/2018 at $3,800",1 bed,1 bath,600 ftsq
#2I,"Off-Market on 07/13/2018 at $3,250",studio,1 bath,500 ftsq
#2BDD,"Off-Market on 04/09/2014 at $9,200",2 beds,2.5 baths,"1,600 ftsq"
#2J,"Off-Market on 11/06/2017 at $4,850",1 bed,1 bath,866 ftsq
#2K,"Off-Market on 06/15/2016 at $4,334",1 bed,1 bath,911 ftsq
#2BR,"Off-Market on 11/18/2013 at $5,350",2 beds,2 baths,"1,250 ftsq"
#2BDS,"Off-Market on 04/09/2014 at $6,750",2 beds,2 baths,"1,300 ftsq"
#AA,"Off-Market on 01/08/2015 at $3,095",studio,1 bath,600 ftsq
#B,"Off-Market on 11/18/2014 at $3,895",1 bed,1 bath,900 ftsq
#3A,"Off-Market on 03/16/2018 at $3,200",2 beds,1 bath,
#3B,"Off-Market on 07/18/2017 at $4,875",1 bed,1 bath,891 ftsq
#3C,"Off-Market on 08/07/2017 at $5,076",3 beds,1 bath,850 ftsq
#3D,"Off-Market on 12/21/2015 at $2,995",1 bed,1 bath,700 ftsq
#3E,"Off-Market on 11/08/2018 at $3,975",2 beds,1 bath,650 ftsq
#3F,"Off-Market on 05/20/2015 at $3,400",1 bed,1 bath,595 ftsq
#3BD,"Off-Market on 06/27/2014 at $11,000",3 beds,3 baths,"2,000 ftsq"
#3CC,"Off-Market on 08/07/2017 at $4,653",3 beds,1 bath,
#3G,"Off-Market on 08/23/2018 at $4,150",1 bed,1 bath,622 ftsq
#3H,"Off-Market on 05/07/2008 at $2,595",1 bed,1 bath,600 ftsq
#3I,"Listed for rent at $3,490",studio,1 bath,505 ftsq
#3J,"Off-Market on 07/24/2015 at $4,395",1 bed,1 bath,866 ftsq
#3K,"Off-Market on 08/19/2009 at $3,195",1 bed,1 bath,900 ftsq
#B12,"Off-Market on 11/11/2015 at $6,675",1 bed,1 bath,
#3BR,"Off-Market on 06/28/2014 at $10,000",3 beds,2.5 baths,"1,950 ftsq"
#3BDS,"Off-Market on 04/04/2014 at $9,200",3 beds,3 baths,
#4,"Off-Market on 09/04/2012 at $3,195",1 bed,1 bath,600 ftsq
#C,"Off-Market on 09/03/2014 at $4,395",1 bed,1 bath,900 ftsq
#4A,"Off-Market on 05/21/2015 at $3,395",studio,1 bath,575 ftsq
#4B,"Off-Market on 06/06/2011 at $3,295",studio,1 bath,900 ftsq
#4C,"Off-Market on 02/20/2008 at $5,000",studio,1 bath,
#4D,"Off-Market on 01/14/2012 at $2,895",1 bed,1 bath,600 ftsq
#4E,"Off-Market on 06/28/2017 at $4,075",1 bed,1 bath,624 ftsq
#4F,"Off-Market on 04/29/2016 at $3,692",1 bed,1 bath,612 ftsq
#4H,"Off-Market on 08/13/2018 at $4,230",1 bed,1 bath,587 ftsq
#4I,"Off-Market on 09/18/2016 at $3,450",studio,1 bath,505 ftsq
#4K,"Off-Market on 04/14/2011 at $3,795",studio,1 bath,950 ftsq
#5,"Off-Market on 07/02/2013 at $2,895",studio,1 bath,500 ftsq
#BB,"Off-Market on 01/08/2015 at $3,895",1 bed,1 bath,900 ftsq
#D,"Off-Market on 11/03/2014 at $3,495",studio,1 bath,600 ftsq
#5A,"Off-Market on 06/04/2018 at $3,800",studio,1 bath,622 ftsq
#5C,"Off-Market on 06/03/2016 at $4,585",1 bed,1 bath,
#5D,"Off-Market on 08/12/2016 at $3,900",1 bed,1 bath,618 ftsq
#5E,"Off-Market on 07/19/2017 at $4,025",2 beds,1 bath,604 ftsq
#5G,Off-Market,1 bed,1 bath,622 ftsq
#5H,"Off-Market on 11/27/2017 at $3,345",1 bed,1 bath,571 ftsq
#5I,"Listed for rent at $3,450",studio,1 bath,505 ftsq
#5J,"Off-Market on 05/15/2016 at $4,495",1 bed,1 bath,900 ftsq
#5K,"Off-Market on 12/06/2017 at $4,545",3 beds,1 bath,991 ftsq
#6,"Off-Market on 04/03/2012 at $2,995",1 bed,1 bath,822 ftsq
#E,"Off-Market on 11/18/2014 at $3,695",1 bed,1 bath,650 ftsq
#6A,"Off-Market on 07/27/2017 at $3,750",studio,1 bath,600 ftsq
#6B,"Off-Market on 04/02/2015 at $4,295",studio,1 bath,857 ftsq
#6C,Off-Market,,,850 ftsq
#6D,"Off-Market on 07/13/2017 at $4,100",1 bed,1 bath,618 ftsq
#6F,"Off-Market on 06/09/2011 at $3,095",1 bed,1 bath,600 ftsq
#6G,"Off-Market on 07/24/2015 at $3,595",1 bed,1 bath,622 ftsq
#6H,"Off-Market on 02/03/2018 at $3,600",1 bed,1 bath,600 ftsq
#6I,"Off-Market on 04/25/2017 at $3,375",studio,1 bath,505 ftsq
#6J,"Off-Market on 07/07/2016 at $4,725",1 bed,1 bath,900 ftsq
#6K,"Off-Market on 06/20/2017 at $5,100",studio,1 bath,991 ftsq
#F,"Off-Market on 08/25/2014 at $4,450",1 bed,1 bath,900 ftsq
#7A,"Off-Market on 06/27/2011 at $2,995",studio,1 bath,600 ftsq
#7B,"Off-Market on 06/03/2015 at $4,695",studio,1 bath,857 ftsq
#7D,Off-Market,,,597 ftsq
#7E,"Off-Market on 04/30/2009 at $2,595",1 bed,1 bath,600 ftsq
#7F,"Off-Market on 05/07/2009 at $3,095",1 bed,1 bath,850 ftsq
#7G,"Off-Market on 03/17/2015 at $4,495",studio,1 bath,855 ftsq
#7I,"Off-Market on 05/18/2018 at $4,700",1 bed,1 bath,866 ftsq
#7J,"Off-Market on 08/23/2015 at $4,695",studio,1 bath,991 ftsq
#G,"Off-Market on 07/28/2014 at $3,495",1 bed,1 bath,650 ftsq
#8A,"Off-Market on 11/16/2018 at $3,700",1 bed,1 bath,630 ftsq
#8B,"Off-Market on 07/31/2017 at $5,000",studio,1 bath,885 ftsq
#8D,"Off-Market on 08/24/2016 at $3,700",studio,1 bath,600 ftsq
#8E,"Off-Market on 08/17/2017 at $4,250",1 bed,1 bath,642 ftsq
#8F,"Off-Market on 02/07/2011 at $3,895",1 bed,1 bath,850 ftsq
#8G,"Off-Market on 02/03/2017 at $4,900",3 beds,1 bath,890 ftsq
#8H,"Off-Market on 11/13/2017 at $2,950",studio,1 bath,520 ftsq
#8I,"Off-Market on 03/09/2012 at $4,295",1 bed,1 bath,850 ftsq
#8J,"Off-Market on 12/02/2014 at $3,500",1 bed,1 bath,857 ftsq
#H,"Off-Market on 06/30/2014 at $3,450",1 bed,1 bath,600 ftsq
#9A,"Off-Market on 10/21/2018 at $4,400",1 bed,1 bath,630 ftsq
#9C,"Off-Market on 04/30/2015 at $4,695",1 bed,1 bath,851 ftsq
#9E,"Off-Market on 11/17/2017 at $3,700",2 beds,1 bath,642 ftsq
#9F,"Off-Market on 07/03/2016 at $5,495",1 bed,1 bath,910 ftsq
#9G,"Listed for rent at $4,642",1 bed,1 bath,910 ftsq
#9I,Off-Market,,,
#10,"Off-Market on 05/25/2010 at $2,395",studio,,600 ftsq
#I,"Off-Market on 11/06/2014 at $4,295",1 bed,1 bath,850 ftsq
#10A,"Off-Market on 07/30/2018 at $3,970",studio,1 bath,630 ftsq
#10B,"Off-Market on 09/12/2012 at $3,350",1 bed,1 bath,856 ftsq
#10C,"Off-Market on 02/01/2011 at $3,795",1 bed,1 bath,850 ftsq
#10D,"Off-Market on 01/30/2015 at $3,395",studio,1 bath,600 ftsq
#10E,"Listed for rent at $3,990",1 bed,1 bath,642 ftsq
#10F,"Off-Market on 07/27/2018 at $5,850",1 bed,1 bath,910 ftsq
#10G,"Off-Market on 06/01/2009 at $3,195",1 bed,1 bath,850 ftsq
#10H,"Off-Market on 03/16/2018 at $3,350",studio,1 bath,566 ftsq
#10I,"Off-Market on 11/03/2011 at $4,195",1 bed,1 bath,825 ftsq
#10J,"Off-Market on 10/12/2016 at $4,932",studio,1 bath,
#EE,"Off-Market on 01/08/2015 at $3,695",1 bed,1 bath,650 ftsq
#J,"Off-Market on 06/13/2014 at $6,000",2 beds,2 baths,"1,250 ftsq"
#11A,"Off-Market on 05/13/2016 at $3,369",studio,1 bath,525 ftsq
#11C,"Off-Market on 06/01/2017 at $4,695",1 bed,1 bath,850 ftsq
#11D,"Off-Market on 04/12/2016 at $3,300",studio,1 bath,597 ftsq
#11E,"Off-Market on 09/27/2018 at $4,600",1 bed,1 bath,642 ftsq
#11F,Off-Market,1 bed,1 bath,910 ftsq
#11G,"Off-Market on 01/10/2018 at $4,700",3 beds,1 bath,882 ftsq
#11G,Off-Market,,,882 ftsq
#11H,"Off-Market on 08/21/2016 at $3,475",studio,1 bath,520 ftsq
#11I,"Off-Market on 01/11/2018 at $4,500",1 bed,1 bath,866 ftsq
#11J,"Off-Market on 04/27/2018 at $4,650",1 bed,1 bath,900 ftsq
#K,"Off-Market on 11/10/2014 at $4,195",1 bed,1 bath,900 ftsq
#L,"Off-Market on 03/01/2013 at $3,695",studio,1 bath,930 ftsq
#14,"Off-Market on 09/22/2014 at $5,495",2 beds,2 baths,
#16,"Off-Market on 03/13/2014 at $3,575",1 bed,1 bath,800 ftsq
#O,"Off-Market on 05/14/2013 at $3,295",1 bed,1 bath,620 ftsq
#R,"Off-Market on 06/07/2013 at $3,395",1 bed,1 bath,630 ftsq
#FL3C,"Off-Market on 08/07/2017 at $5,076",3 beds,1 bath,
#KK,"Off-Market on 01/08/2015 at $4,195",1 bed,1 bath,900 ftsq
#FL3CC,"Off-Market on 08/09/2017 at $4,653",3 beds,1 bath,
#31,"Off-Market on 09/05/2014 at $6,850",2 beds,2 baths,"1,320 ftsq"
#XF,"Off-Market on 07/08/2014 at $4,495",1 bed,1 bath,900 ftsq
#XH,"Off-Market on 06/24/2014 at $3,450",1 bed,1 bath,
#FLR3C,"Off-Market on 08/14/2017 at $4,653",3 beds,1 bath,
#VAR1,Off-Market,,,850 ftsq
#VAR1B,"Off-Market on 04/09/2009 at $2,395",1 bed,1 bath,
#45,"Off-Market on 07/23/2013 at $3,195",1 bed,1 bath,600 ftsq
#50H,"Off-Market on 04/21/2014 at $3,595",1 bed,1 bath,600 ftsq
#53H,"Off-Market on 06/16/2014 at $3,450",1 bed,1 bath,600 ftsq
#LOFT,Off-Market,,,950 ftsq
#VARAL,"Off-Market on 04/09/2009 at $2,195",studio,1 bath,
#VARST,"Off-Market on 04/01/2009 at $2,095",studio,1 bath,
#114,"Off-Market on 02/01/2016 at $3,675",studio,1 bath,
#115,"Off-Market on 01/14/2016 at $3,411",studio,1 bath,
#116,"Off-Market on 01/14/2016 at $3,225",studio,1 bath,
#620,"Off-Market on 09/19/2017 at $4,775",studio,1 bath,860 ftsq
#918,"Off-Market on 09/24/2017 at $3,950",studio,1 bath,553 ftsq
#919,Off-Market,,,553 ftsq
NA_112315,Off-Market,,,
NA_115172,Off-Market,,,
NA_115739,Off-Market,,,
#1110,"Off-Market on 01/14/2016 at $5,995",1 bed,1 bath,
#1112,"Off-Market on 01/14/2016 at $4,395",1 bed,1 bath,
#1118,"Off-Market on 02/01/2016 at $4,425",studio,1 bath,
#5100,Off-Market,1 bed,1 bath,900 ftsq
#5300,"Off-Market on 06/04/2018 at $5,300",3 beds,1 bath,
#8027,"Off-Market on 09/09/2015 at $4,995",studio,1 bath,991 ftsq
#8028,"Off-Market on 09/09/2015 at $4,595",studio,1 bath,991 ftsq
#8029,"Off-Market on 09/09/2015 at $4,595",studio,1 bath,991 ftsq
#8123,"Off-Market on 09/09/2015 at $4,550",1 bed,1 bath,640 ftsq
#8124,"Off-Market on 09/09/2015 at $3,650",1 bed,1 bath,624 ftsq
#70016,"Off-Market on 08/20/2015 at $4,694",studio,1 bath,991 ftsq
#70017,"Off-Market on 08/20/2015 at $4,995",studio,1 bath,991 ftsq
#80013,"Off-Market on 08/20/2015 at $4,995",studio,1 bath,991 ftsq
#80015,"Off-Market on 08/20/2015 at $5,395",studio,1 bath,917 ftsq
#80016,"Off-Market on 08/20/2015 at $3,195",studio,1 bath,520 ftsq
#80113,"Off-Market on 08/20/2015 at $3,795",1 bed,1 bath,624 ftsq
#80114,"Off-Market on 08/20/2015 at $4,595",1 bed,1 bath,618 ftsq
#PHA,Off-Market,,,600 ftsq
#PHB,"Off-Market on 05/30/2015 at $5,095",studio,1 bath,857 ftsq
#PHE,"Off-Market on 04/12/2016 at $4,062",studio,1 bath,640 ftsq
#PHF,"Off-Market on 08/08/2015 at $5,095",1 bed,1 bath,857 ftsq
#PHG,"Off-Market on 07/31/2018 at $5,850",1 bed,1 bath,882 ftsq
#PHJ,"Off-Market on 08/23/2015 at $4,995",1 bed,1 bath,991 ftsq
#PH1,"Off-Market on 01/18/2012 at $4,195",1 bed,1 bath,900 ftsq
