#-,"Off-Market on  at $3,300",1 bed,1 bath,750 ftsq
#1A,"Off-Market on 02/23/2018 at $2,495",studio,1 bath,
#2C,"Off-Market on 07/19/2018 at $4,295",2 beds,1 bath,
#2F,"Off-Market on 04/27/2012 at $5,095",2 beds,2 baths,
#2G,"Off-Market on 08/22/2017 at $3,295",1 bed,1 bath,
#2H,"Off-Market on 12/18/2017 at $3,251",1 bed,1 bath,
#2J,"Off-Market on 07/13/2018 at $3,295",1 bed,1 bath,
#2K,"Off-Market on 04/17/2018 at $3,995",1 bed,1 bath,
#2L,"Off-Market on 03/28/2016 at $3,795",1 bed,1 bath,
#2M,"Off-Market on 06/13/2017 at $5,995",3 beds,2 baths,
#2N,"Off-Market on 08/15/2016 at $3,195",1 bed,1 bath,
#2P,"Off-Market on 09/15/2009 at $2,395",1 bed,1 bath,
#2Q,"Off-Market on 06/18/2009 at $2,295",1 bed,1 bath,
#3A,"Off-Market on 09/25/2012 at $2,450",studio,1 bath,
#3B,"Off-Market on 08/06/2014 at $5,050",2 beds,2 baths,
#3D,"Off-Market on 06/18/2010 at $3,695",1 bed,1 bath,
#3E,"Off-Market on 08/07/2018 at $5,850",2 beds,2 baths,
#B5,"Off-Market on 07/30/2018 at $5,495",2 beds,2 baths,
#3F,"Off-Market on 06/28/2017 at $5,995",2 beds,2 baths,
#3G,"Off-Market on 05/31/2018 at $3,325",1 bed,1 bath,
#3H,"Off-Market on 08/17/2012 at $2,850",1 bed,1 bath,
#3J,"Off-Market on 03/13/2018 at $3,895",1 bed,1 bath,
#3K,"Off-Market on 06/24/2011 at $3,550",1 bed,1 bath,
#3L,"Off-Market on 05/31/2018 at $3,950",2 beds,1 bath,
#3M,"Off-Market on 11/10/2010 at $4,575",2 beds,2 baths,
#3N,"Off-Market on 10/13/2011 at $2,695",1 bed,1 bath,
#3O,"Off-Market on 06/03/2009 at $2,295",1 bed,1 bath,
#3R,"Off-Market on 07/07/2009 at $2,650",1 bed,1 bath,
#4A,"Off-Market on 03/13/2018 at $2,895",studio,1 bath,
#4B,"Off-Market on 10/31/2018 at $5,195",2 beds,2 baths,
#4C,"Off-Market on 03/16/2018 at $3,995",1 bed,1 bath,
#4D,"Off-Market on 09/26/2016 at $4,195",1 bed,1 bath,
#4E,"Off-Market on 11/08/2018 at $5,850",2 beds,2 baths,"1,075 ftsq"
#4F,"Off-Market on 08/25/2017 at $5,795",2 beds,2 baths,
#4G,"Off-Market on 08/12/2016 at $3,050",1 bed,1 bath,
#4H,"Off-Market on 09/29/2016 at $3,295",1 bed,1 bath,
#4J,"Off-Market on 03/10/2017 at $3,595",1 bed,1 bath,
#4K,"Off-Market on 03/13/2017 at $3,795",1 bed,1 bath,
#4M,"Off-Market on 08/29/2008 at $4,895",2 beds,2 baths,
#4N,"Off-Market on 08/12/2016 at $3,195",1 bed,1 bath,
#4Q,"Off-Market on 07/07/2009 at $2,250",1 bed,1 bath,
#D,Off-Market,,,
#5A,"Off-Market on 07/11/2016 at $2,875",studio,1 bath,
#5B,"Off-Market on 07/02/2018 at $5,495",2 beds,2 baths,900 ftsq
#5C,"Off-Market on 04/06/2018 at $3,995",2 beds,1 bath,
#5D,"Off-Market on 03/29/2018 at $4,195",1 bed,1 bath,
#5E,"Off-Market on 05/15/2017 at $5,850",2 beds,2 baths,
#5F,"Off-Market on 04/13/2012 at $5,395",3 beds,2 baths,
#5G,"Off-Market on 04/26/2018 at $3,025",1 bed,1 bath,
#5H,"Off-Market on 06/26/2018 at $3,195",1 bed,1 bath,
#5J,"Off-Market on 06/21/2016 at $3,725",1 bed,1 bath,
#5M,"Off-Market on 12/05/2017 at $5,695",2 beds,2 baths,
#E,"Off-Market on 03/20/2015 at $2,500",2 beds,2 baths,"1,200 ftsq"
#6A,"Off-Market on 11/04/2008 at $2,495",studio,1 bath,
#6B,"Off-Market on 07/20/2018 at $5,395",2 beds,2 baths,
#6C,"Off-Market on 07/17/2017 at $4,175",1 bed,1 bath,
#6F,"Off-Market on 06/13/2009 at $4,595",2 beds,2 baths,
#6G,"Off-Market on 10/30/2018 at $3,295",1 bed,1.5 baths,
#6H,"Off-Market on 05/15/2018 at $3,295",1 bed,1 bath,
#6K,"Off-Market on 05/23/2018 at $4,095",2 beds,1 bath,
#6L,"Off-Market on 10/16/2009 at $3,195",1 bed,1 bath,
#6M,"Off-Market on 05/14/2013 at $5,250",2 beds,2 baths,
#6N,"Off-Market on 05/24/2013 at $3,050",1 bed,1 bath,
#6S,"Off-Market on 10/01/2009 at $4,350",2 beds,2 baths,
#F,"Off-Market on 08/01/2017 at $5,995",2 beds,2 baths,
#7A,"Off-Market on 06/01/2010 at $2,295",studio,1 bath,
#7B,"Off-Market on 08/08/2018 at $5,395",2 beds,2 baths,
#7C,"Off-Market on 07/30/2018 at $4,395",2 beds,1 bath,"1,000 ftsq"
#7D,"Off-Market on 09/05/2018 at $4,350",1 bed,1 bath,
#7E,"Off-Market on 06/27/2009 at $4,595",2 beds,2 baths,
#7F,"Off-Market on 12/06/2018 at $5,075",2 beds,2 baths,
#7G,"Off-Market on 06/25/2018 at $3,095",1 bed,1 bath,
#7H,"Off-Market on 07/13/2007 at $2,760",1 bed,1 bath,
#7J,"Off-Market on 05/08/2015 at $3,595",1 bed,1 bath,
#7K,"Off-Market on 05/03/2011 at $3,395",1 bed,1 bath,
#7L,"Off-Market on 06/01/2017 at $3,895",1 bed,1 bath,
#7M,"Off-Market on 07/22/2018 at $5,495",2 beds,2 baths,
#7O,"Off-Market on 08/05/2009 at $4,495",2 beds,2 baths,
#8A,"Off-Market on 04/13/2017 at $2,975",studio,1 bath,
#8C,"Off-Market on 06/20/2011 at $3,495",1 bed,1 bath,
#8D,"Off-Market on 06/26/2008 at $3,750",1 bed,1 bath,
#8E,"Off-Market on 05/16/2018 at $5,995",2 beds,2 baths,"1,075 ftsq"
#8G,"Off-Market on 05/21/2007 at $2,550",1 bed,1 bath,
#8J,"Off-Market on 06/27/2011 at $2,895",1 bed,1 bath,
#8K,"Off-Market on 11/10/2018 at $4,795",1 bed,2 baths,
#8M,"Off-Market on 10/17/2013 at $7,995",3 beds,2 baths,
#8N,"Off-Market on 10/23/2017 at $3,120",1 bed,1 bath,
#9C,"Off-Market on 09/25/2012 at $3,595",1 bed,1 bath,
#9D,"Off-Market on 03/28/2016 at $4,345",1 bed,1 bath,
#9E,"Off-Market on 10/22/2012 at $5,095",2 beds,2 baths,
#9G,"Off-Market on 02/12/2018 at $3,095",1 bed,1 bath,
#9H,"Off-Market on 07/11/2014 at $3,150",1 bed,1 bath,
#9J,"Off-Market on 02/06/2018 at $3,795",1.5 beds,1 bath,
#9L,"Off-Market on 10/15/2018 at $3,195",studio,1 bath,
#9N,"Off-Market on 04/10/2018 at $3,295",1 bed,1 bath,
#9P,"Off-Market on 05/22/2009 at $4,295",2 beds,2 baths,
#9Q,"Off-Market on 07/10/2009 at $2,395",1 bed,1 bath,
#9S,"Off-Market on 10/15/2009 at $4,425",2 beds,2 baths,
#10A,"Off-Market on 03/22/2011 at $3,050",1 bed,1 bath,
#10C,"Off-Market on 01/28/2010 at $3,150",1 bed,1 bath,
#10D,"Off-Market on 04/29/2009 at $4,895",2 beds,2.5 baths,
#10G,"Off-Market on 05/22/2017 at $2,995",studio,1 bath,
#10H,"Off-Market on 10/04/2016 at $3,295",1 bed,1 bath,
#10K,"Off-Market on 10/06/2018 at $4,295",2 beds,1.5 baths,
#10L,"Off-Market on 10/03/2018 at $4,050",1 bed,1 bath,
#10M,"Off-Market on 08/08/2018 at $3,525",1 bed,1 bath,
#12,"Off-Market on 09/19/2014 at $5,449",2 beds,2 baths,
#L,"Off-Market on 01/19/2018 at $3,950",1 bed,1 bath,750 ftsq
#16E,"Off-Market on 04/15/2014 at $4,650",2 beds,2 baths,"1,000 ftsq"
#PL1,"Off-Market on 08/25/2018 at $7,695",2 beds,2 baths,
#PL1,Off-Market,2 beds,2 baths,
#45,Off-Market,,,"1,005 ftsq"
#APT6G,"Off-Market on  at $3,295",1 bed,1 bath,700 ftsq
#47,Off-Market,,,"1,005 ftsq"
H-LINE-1-BE,Off-Market,,,
#PH,"Off-Market on 02/22/2018 at $2,895",studio,1 bath,
#PHA,"Off-Market on 09/16/2014 at $3,495",1 bed,1 bath,
#PHB,"Off-Market on 10/15/2010 at $3,295",1 bed,1 bath,
#PHE,"Off-Market on 11/01/2017 at $3,075",studio,1 bath,
#PHG,"Off-Market on 08/11/2018 at $3,150",studio,1 bath,
#PHH,"Off-Market on 01/22/2010 at $2,700",1 bed,1 bath,
#PHJ,"Off-Market on 04/10/2014 at $3,450",1 bed,1 bath,
#PHK,"Off-Market on 03/13/2014 at $6,995",3 beds,3 baths,
#PHL,"Off-Market on 05/16/2018 at $7,495",2 beds,2 baths,
#PHM,"Off-Market on 10/10/2018 at $7,595",2 beds,2 baths,
#PHN,"Off-Market on 06/02/2018 at $3,950",1 bed,1 bath,
PH-J2564,"Off-Market on 05/31/2013 at $3,050",1 bed,1 bath,
