#6E,Off-Market,,,
#6W,Off-Market,,,
#6EAST,"Off-Market on 09/06/2017 at $6,500,000",3 beds,3.5 baths,"3,170 ftsq"
#6WEST,"Off-Market on 08/04/2017 at $5,800,000",3 beds,3.5 baths,"2,983 ftsq"
#7E,Off-Market,,,
#7W,Off-Market,,,
#7EAST,"Off-Market on 11/20/2017 at $6,500,000",3 beds,3.5 baths,"2,897 ftsq"
#8AE,Off-Market,,,
#8BE,Off-Market,,,
#8CE,Off-Market,,,
#8AEAST,"Off-Market on 08/20/2009 at $4,850,000",2 beds,2.5 baths,"2,474 ftsq"
8A-EAST,"Off-Market on 10/04/2017 at $30,000",3 beds,3.5 baths,"3,668 ftsq"
8B-EAST,"Off-Market on 07/07/2017 at $1,480,000",studio,1 bath,655 ftsq
#8CEAST,"Off-Market on 06/26/2018 at $2,275,000",studio,1 bath,845 ftsq
#11AE,"Off-Market on 01/19/2018 at $7,790",1 bed,1.5 baths,
#11BE,"Off-Market on 04/13/2018 at $24,000",4 beds,4 baths,"2,924 ftsq"
#11AW,"Sold on 10/06/2016 for $5,216,033",,,
#11BW,"Sold on 10/18/2016 for $3,682,307",,,
11A-EAST,"Sold on 10/06/2016 for $2,975,000",1 bed,1.5 baths,"1,027 ftsq"
11B-EAST,"Off-Market on 07/13/2017 at $7,350,000",4 beds,4.5 baths,"2,924 ftsq"
11A-WEST,"Off-Market on 12/16/2016 at $18,000",3 beds,3.5 baths,"2,309 ftsq"
11B-WEST,"Off-Market on 10/19/2016 at $3,975,000",2 beds,2.5 baths,"1,733 ftsq"
11BWEST,"Off-Market on 01/19/2017 at $13,500",2 beds,2.5 baths,"1,733 ftsq"
#12AE,Off-Market,,,
#12BE,Off-Market,,,
#12AW,"Sold on 09/22/2016 for $4,908,960",,,
#12BW,"Sold on 09/20/2016 for $3,936,432",,,
12A-EAST,"Off-Market on 10/23/2018 at $8,500",1 bed,1.5 baths,"1,027 ftsq"
12B-EAST,"Off-Market on 06/29/2017 at $7,400,000",4 beds,4.5 baths,"2,924 ftsq"
12A-WEST,"Off-Market on 10/06/2016 at $4,900,000",3 beds,3.5 baths,"2,309 ftsq"
12AWEST,"Off-Market on 08/20/2009 at $4,800,000",3 beds,3.5 baths,"2,324 ftsq"
12B-WEST,"Off-Market on 09/20/2016 at $3,950,000",2 beds,2.5 baths,"1,733 ftsq"
#14AE,"Sold on 06/08/2016 for $2,937,145",,,
#14AW,"Sold on 05/18/2016 for $4,959,952",,,
#14BW,"Sold on 05/10/2016 for $4,026,773",,,
14A-EAST,"Off-Market on 08/28/2018 at $8,500",1 bed,1.5 baths,"1,027 ftsq"
14B-EAST,"Off-Market on 02/07/2018 at $8,580,000",4 beds,4.5 baths,"2,924 ftsq"
14BEAST,"Off-Market on 06/01/2018 at $8,580,000",4 beds,4.5 baths,"2,924 ftsq"
14A-WEST,"Off-Market on 07/16/2016 at $23,500",3 beds,3.5 baths,"2,309 ftsq"
14B-WEST,"Off-Market on 05/11/2016 at $4,000,000",2 beds,2.5 baths,"1,733 ftsq"
14BWEST,"Off-Market on 04/14/2018 at $5,500,000",2 beds,2.5 baths,"1,733 ftsq"
#15AE,Off-Market,,,
#15AW,"Sold on 06/06/2016 for $5,010,790",,,
#15BW,"Sold on 06/14/2016 for $3,860,067",,,
15A-EAST,"Listed for sale at $3,175,000",1 bed,1.5 baths,"1,027 ftsq"
15B-EAST,"Off-Market on 07/07/2017 at $7,750,000",4 beds,4.5 baths,"2,924 ftsq"
15A-WEST,"Off-Market on 06/06/2016 at $5,000,000",3 beds,3.5 baths,"2,309 ftsq"
15AWEST,"Off-Market on 08/10/2016 at $18,000",3 beds,3.5 baths,"2,309 ftsq"
15B-WEST,"Off-Market on 06/14/2016 at $4,050,000",2 beds,2.5 baths,"1,733 ftsq"
15BWEST,"Off-Market on 04/04/2018 at $15,000",2 beds,2.5 baths,"1,733 ftsq"
#16AE,"Sold on 07/06/2016 for $2,835,322",,,
#16BE,Off-Market,,,
#16AW,"Sold on 05/27/2016 for $5,061,727",,,
#16BW,"Sold on 05/05/2016 for $4,012,745",,,
16A-EAST,"Off-Market on 07/07/2016 at $3,200,000",1 bed,1.5 baths,"1,027 ftsq"
16AEAST,"Off-Market on 05/03/2017 at $9,500",1 bed,1 bath,"1,027 ftsq"
16BEAST,Off-Market,,,"3,094 ftsq"
16B-EAST,"Listed for sale at $8,700,000",4 beds,4.5 baths,"3,094 ftsq"
16A-WEST,"Off-Market on 01/18/2017 at $16,500",3 beds,3.5 baths,"2,303 ftsq"
16AWEST,"Listed for sale at $6,180,000",3 beds,3.5 baths,"2,303 ftsq"
16B-WEST,"Off-Market on 05/16/2016 at $4,100,000",2 beds,2.5 baths,"1,733 ftsq"
#17AE,"Sold on 11/10/2016 for $3,250,000",1 bed,1.5 baths,
#17BE,Off-Market,,,
#17AW,"Sold on 11/02/2016 for $6,350,000",,,
#17BW,"Sold on 05/19/2016 for $3,667,876",,,
17AEAST,"Off-Market on 02/16/2011 at $2,025,000",1 bed,1.5 baths,"1,030 ftsq"
17A-EAST,"Off-Market on 07/24/2018 at $2,995,000",1 bed,1.5 baths,"1,027 ftsq"
17A-WEST,"Off-Market on 06/14/2016 at $5,750,000",3 beds,3.5 baths,"2,303 ftsq"
17AWEST,"Sold on 11/02/2016 for $6,350,000",3 beds,3 baths,"2,303 ftsq"
17B-WEST,"Off-Market on 05/20/2016 at $4,150,000",2 beds,2.5 baths,"1,733 ftsq"
#18AE,"Sold on 05/17/2016 for $2,784,411",,,
#18BE,Off-Market,,,
#18AW,"Off-Market on 04/03/2018 at $17,500",3 beds,3.5 baths,"2,303 ftsq"
#18BW,"Off-Market on 02/21/2018 at $15,500",2 beds,2.5 baths,
18AEAST,"Off-Market on 12/11/2009 at $2,050,000",1 bed,1.5 baths,"1,030 ftsq"
18A-EAST,"Off-Market on 05/17/2016 at $3,250,000",1 bed,1.5 baths,"1,030 ftsq"
18B-EAST,"Off-Market on 04/05/2017 at $8,550,000",4 beds,4.5 baths,"3,094 ftsq"
18A-WEST,"Off-Market on 05/16/2016 at $5,800,000",3 beds,3.5 baths,"2,303 ftsq"
18AWEST,"Off-Market on 12/10/2017 at $18,500",3 beds,3.5 baths,"2,303 ftsq"
18B-WEST,"Off-Market on 06/03/2016 at $4,200,000",2 beds,2.5 baths,"1,733 ftsq"
18BWEST,"Off-Market on 11/10/2016 at $16,000",2 beds,2.5 baths,"1,733 ftsq"
#19AE,"Sold on 07/08/2016 for $2,809,868",,,
#19BE,"Off-Market on 07/15/2018 at $25,000",4 beds,4.5 baths,"3,094 ftsq"
#19AW,"Sold on 06/15/2016 for $5,418,043",,,
#19BW,"Sold on 07/27/2016 for $4,445,767",,,
19AEAST,"Sold on 01/10/2018 for $2,995,000",1 bed,1 bath,"1,027 ftsq"
19A-EAST,"Off-Market on 07/08/2016 at $3,275,000",1 bed,1.5 baths,"1,027 ftsq"
19B-EAST,"Off-Market on 01/17/2017 at $8,750,000",4 beds,4.5 baths,"3,094 ftsq"
19BEAST,"Off-Market on 08/21/2017 at $23,500",4 beds,4.5 baths,"3,094 ftsq"
19A-WEST,"Off-Market on 06/15/2016 at $5,900,000",3 beds,3.5 baths,"2,303 ftsq"
19AWEST,"Off-Market on 05/11/2017 at $6,400,000",3 beds,3 baths,"2,303 ftsq"
19B-WEST,"Sold on 07/28/2016 for $4,350,000",2 beds,2.5 baths,"1,733 ftsq"
#20AE,Off-Market,,,
#20BE,"Sold on 05/11/2016 for $3,884,990",,,
#20AW,"Sold on 05/10/2016 for $4,343,532",,,
#20BW,"Sold on 06/22/2016 for $5,927,168",,,
20A-EAST,"Off-Market on 04/21/2017 at $5,200,000",3 beds,3.5 baths,"2,245 ftsq"
20B-EAST,"Off-Market on 11/06/2016 at $16,500",2 beds,2.5 baths,"1,668 ftsq"
20BEAST,"Sold on 11/15/2017 for $4,750,000",2 beds,2.5 baths,"1,668 ftsq"
20A-WEST,"Off-Market on 01/15/2017 at $5,500,000",2 beds,2.5 baths,"1,691 ftsq"
20B-WEST,"Off-Market on 06/22/2016 at $6,050,000",3 beds,3.5 baths,"2,252 ftsq"
20BWEST,"Off-Market on 04/04/2017 at $21,000",3 beds,3 baths,"2,252 ftsq"
#21AE,"Sold on 01/13/2017 for $5,163,139",,,
#21BE,"Sold on 05/12/2016 for $3,783,414",,,
#21AW,"Sold on 07/01/2016 for $3,812,772",,,
#21BW,Off-Market,,,
21A-EAST,"Off-Market on 03/15/2017 at $6,799,999",3 beds,3.5 baths,"2,245 ftsq"
21AEAST,"Off-Market on 08/20/2009 at $5,050,000",3 beds,3.5 baths,"2,252 ftsq"
21B-EAST,"Off-Market on 05/16/2016 at $3,875,000",2 beds,2.5 baths,"1,668 ftsq"
21A-WEST,"Off-Market on 05/31/2018 at $14,500",2 beds,2.5 baths,"1,697 ftsq"
21AWEST,"Off-Market on 08/20/2009 at $3,900,000",2 beds,2.5 baths,"1,697 ftsq"
21B-WEST,"Off-Market on 04/28/2017 at $5,800,000",3 beds,3.5 baths,"2,252 ftsq"
#22AE,Off-Market,,,
#22BE,"Sold on 05/26/2016 for $3,834,081",,,
#22AW,"Sold on 05/24/2016 for $4,801,782",,,
#22BW,"Sold on 05/26/2016 for $5,196,487",,,
22A-EAST,"Off-Market on 06/29/2017 at $6,350,000",3 beds,3.5 baths,"2,245 ftsq"
22AEAST,"Off-Market on 02/28/2018 at $19,000",3 beds,3 baths,"2,245 ftsq"
22B-EAST,"Off-Market on 11/30/2016 at $4,549,000",2 beds,2.5 baths,"1,668 ftsq"
22BEAST,"Off-Market on 10/30/2017 at $4,700,000",2 beds,1.5 baths,
22A-WEST,"Off-Market on 05/24/2016 at $4,800,000",2 beds,2.5 baths,"1,691 ftsq"
22B-WEST,"Off-Market on 05/26/2016 at $5,900,000",3 beds,3.5 baths,"2,252 ftsq"
#23AE,Off-Market,,,
#23BE,"Sold on 06/09/2016 for $4,495,885",,,
#23AW,"Sold on 06/02/2016 for $4,063,520",,,
#23BW,"Sold on 06/10/2016 for $5,776,798",,,
23A-EAST,"Off-Market on 02/08/2017 at $6,400,000",3 beds,3.5 baths,"2,245 ftsq"
