#4R,"Off-Market on 06/28/2013 at $79,000",studio,,
#CL504,"Off-Market on 02/17/2017 at $2,700",studio,1 bath,
#R1,"Sold on 01/06/2014 for $1,045,000",,,400 ftsq
#R2,"Sold on 12/18/2009 for $609,000",,,340 ftsq
#R4,"Sold on 09/26/2013 for $34,000",,,300 ftsq
#R5,Sold on 06/13/2011 for $0,,,400 ftsq
#R6,Sold on 01/03/2017 for $0,,,
#R7,"Sold on 12/01/2014 for $1,560,000",,,300 ftsq
#101,"Off-Market on 03/21/2014 at $3,500",1 bed,1 bath,775 ftsq
#102,"Sold on 12/15/2006 for $712,775",,,858 ftsq
#103,"Sold on 02/20/2008 for $1,500,000",2 beds,1.5 baths,"1,583 ftsq"
#104,"Off-Market on 08/16/2009 at $2,850",studio,1.5 baths,903 ftsq
#105,"Off-Market on 07/09/2018 at $6,300",2 beds,1.5 baths,"1,600 ftsq"
#201,"Sold on 09/20/2006 for $630,000",1 bed,1 bath,732 ftsq
#202,"Off-Market on 01/12/2007 at $725,000",1 bed,1 bath,879 ftsq
#203,"Sold on 09/26/2013 for $905,000",2 beds,1 bath,843 ftsq
#204,"Off-Market on 11/13/2018 at $2,650",studio,1 bath,500 ftsq
#205,"Sold on 04/24/2017 for $1,060,000",1 bed,1 bath,861 ftsq
#206,"Off-Market on 09/07/2016 at $3,800",1 bed,1 bath,900 ftsq
#301,"Off-Market on 10/18/2018 at $1,495,000",2 beds,2 baths,"1,250 ftsq"
#302,"Off-Market on 11/06/2018 at $5,495",2 beds,2 baths,"1,250 ftsq"
#303,"Sold on 11/29/2006 for $809,508",,,842 ftsq
#304,"Off-Market on 03/13/2008 at $2,400",studio,1 bath,525 ftsq
#305,Sold on 09/15/2017 for $0,2 beds,1 bath,879 ftsq
#401,"Off-Market on 04/18/2012 at $1,199,000",2 beds,2 baths,"1,259 ftsq"
#402,"Sold on 12/01/2014 for $1,560,000",2 beds,2 baths,"1,230 ftsq"
#403,"Sold on 01/29/2016 for $1,130,000",2 beds,1 bath,837 ftsq
#404,"Off-Market on 02/06/2007 at $2,250",studio,1 bath,525 ftsq
#405,Sold on 08/10/2016 for $0,2 beds,1 bath,884 ftsq
#501,"Sold on 06/06/2012 for $1,125,000",2 beds,2 baths,"1,257 ftsq"
#502,"Sold on 02/14/2018 for $1,725,000",2 beds,2 baths,"1,228 ftsq"
#503,"Off-Market on 10/27/2011 at $3,995",2 beds,1 bath,839 ftsq
#504,Sold on 09/15/2017 for $0,studio,1 bath,525 ftsq
#505,"Sold on 12/14/2006 for $893,260",,,883 ftsq
#601,"Off-Market on 12/05/2006 at $700,000",1 bed,1 bath,732 ftsq
#602,"Off-Market on 12/19/2018 at $5,500",2 beds,1 bath,880 ftsq
#603,"Off-Market on 05/16/2018 at $4,500",2 beds,1 bath,841 ftsq
#604,"Sold on 05/08/2015 for $690,000",1 bed,1 bath,550 ftsq
#605,"Off-Market on  at $5,600",2 beds,1 bath,886 ftsq
#606,"Sold on 01/03/2017 for $1,225,000",2 beds,1 bath,897 ftsq
#701,"Listed for rent at $10,000",4 beds,2.5 baths,"1,771 ftsq"
#702,"Listed for sale at $3,499,999",3 beds,2.5 baths,"1,875 ftsq"
701/702,"Listed for sale at $6,399,999",7 beds,5 baths,"3,646 ftsq"
#PH,"Off-Market on 02/08/2017 at $19,250",7 beds,4+ baths,"3,500 ftsq"
#PH1,Off-Market,,,"1,771 ftsq"
#PH2,"Off-Market on 06/10/2016 at $15,000",3 beds,2.5 baths,"1,700 ftsq"
#PH1+2,Off-Market,,,"3,500 ftsq"
#701PH,"Off-Market on 07/10/2017 at $8,950",4 beds,2.5 baths,"1,771 ftsq"
#702PH,"Off-Market on 03/01/2017 at $8,500",3 beds,2.5 baths,"1,871 ftsq"
#PH701,"Off-Market on 10/31/2016 at $10,450",3 beds,2.5 baths,"1,771 ftsq"
PH---701,Off-Market,,,"1,771 ftsq"
#PH702,"Off-Market on 10/31/2016 at $10,450",3 beds,2.5 baths,"1,871 ftsq"
701-702-PH,Off-Market,,,"3,500 ftsq"
701702-PH,Off-Market,,,"3,500 ftsq"
PH-701-AND-702,Off-Market,,,"3,500 ftsq"
PH1-PH2,"Off-Market on 12/28/2016 at $19,500",7 beds,4+ baths,"3,646 ftsq"
