#1,"Off-Market on 05/24/2017 at $2,600",1 bed,1 bath,600 ftsq
#1A,"Off-Market on 05/24/2017 at $2,600",1 bed,1 bath,
#1D,Off-Market,,,
#2,"Off-Market on 05/12/2015 at $2,650",1 bed,1 bath,
#A4,"Off-Market on 01/18/2017 at $3,100",1 bed,2 baths,
#A4,Off-Market,,,
#A4,Off-Market,,,
#3,"Off-Market on 12/26/2017 at $3,300",1 bed,2 baths,"1,000 ftsq"
#4,"Off-Market on 02/26/2018 at $3,250",1 bed,1.5 baths,950 ftsq
#4A,"Off-Market on 02/04/2017 at $3,250",1 bed,1.5 baths,
#5,"Off-Market on 12/14/2017 at $2,500",1 bed,1 bath,625 ftsq
#6,"Off-Market on 08/18/2013 at $2,300",1 bed,1 bath,
#7,"Off-Market on 05/24/2017 at $2,550",1 bed,1 bath,600 ftsq
#8,"Off-Market on 05/24/2017 at $2,600",1 bed,1 bath,550 ftsq
#8A,"Off-Market on 05/15/2017 at $2,600",1 bed,1 bath,500 ftsq
#8B,"Off-Market on 05/24/2017 at $2,600",1 bed,1 bath,650 ftsq
#11,"Off-Market on 09/28/2018 at $2,400",1 bed,1 bath,550 ftsq
#12,"Off-Market on 08/30/2017 at $2,550",1 bed,1 bath,450 ftsq
#14,"Off-Market on 09/14/2018 at $2,600",1 bed,1 bath,500 ftsq
#15,"Off-Market on 08/18/2018 at $2,500",1 bed,1 bath,500 ftsq
#16,"Off-Market on 01/04/2019 at $2,550",1 bed,1 bath,650 ftsq
#18,"Off-Market on 08/22/2018 at $2,650",1 bed,1 bath,550 ftsq
#19,"Off-Market on 09/18/2018 at $2,500",1 bed,1 bath,600 ftsq
EIGHTEEN,"Off-Market on 07/31/2018 at $2,650",1 bed,1 bath,650 ftsq
#TWELVE,"Off-Market on 08/30/2017 at $2,550",1 bed,1 bath,600 ftsq
#101,Off-Market,,,
#108,Off-Market,,,
#111,Off-Market,,,
#115,Off-Market,,,
#116,Off-Market,,,
#201,Off-Market,,,
#888,Off-Market,,,
#1001,Off-Market,,,
#1111,Off-Market,,,
#1115,Off-Market,,,
#1211,Off-Market,,,
#2001,Off-Market,,,
#2115,Off-Market,,,
#2215,Off-Market,,,
#3015,Off-Market,,,
#4016,Off-Market,,,
#10016,Off-Market,,,
#10216,Off-Market,,,
#77777,Off-Market,,,
