#1,"Off-Market on 03/12/2014 at $4,350",3 beds,1 bath,
#2,"Off-Market on 11/25/2014 at $3,150",2 beds,1 bath,
#3,"Off-Market on 06/10/2015 at $3,400",2 beds,1 bath,
#3F,"Off-Market on 02/21/2013 at $4,095",3 beds,1 bath,
#4,"Off-Market on 08/05/2015 at $4,350",3 beds,1 bath,
#4B,"Off-Market on 07/02/2013 at $4,350",3 beds,1 bath,
#4F,"Off-Market on 07/23/2013 at $4,250",3 beds,1 bath,
#5,"Off-Market on 06/18/2015 at $3,400",2 beds,1 bath,
#6,"Off-Market on 10/17/2014 at $2,650",1 bed,1 bath,
#AL,"Off-Market on 02/28/2013 at $4,095",3 beds,1 bath,
#20,"Off-Market on 06/16/2014 at $4,175",3 beds,1 bath,
#22,"Off-Market on 09/19/2013 at $3,200",2 beds,1 bath,
#V,"Off-Market on 06/14/2013 at $4,150",3 beds,1 bath,
#X3,"Off-Market on 08/15/2013 at $4,150",3 beds,1 bath,"1,000 ftsq"
APT-406,Off-Market,,,
#APZ,"Off-Market on 02/28/2013 at $4,095",3 beds,1 bath,
#46,Off-Market,,,
#50,"Off-Market on 06/28/2014 at $4,150",3 beds,1 bath,
#53,"Off-Market on 10/09/2015 at $4,600",3 beds,1 bath,
#64,"Off-Market on 08/24/2015 at $4,500",3 beds,1 bath,
#66,"Off-Market on 09/17/2013 at $3,100",2 beds,1 bath,
#100,"Off-Market on 07/12/2013 at $4,350",3 beds,1 bath,
#101,"Off-Market on 05/26/2016 at $6,000",4 beds,1.5 baths,"1,300 ftsq"
#102,"Off-Market on 12/17/2017 at $5,000",3 beds,1 bath,
#103,"Off-Market on 11/07/2017 at $5,000",3 beds,1 bath,
#104,"Off-Market on 12/05/2015 at $5,350",4 beds,2 baths,
#104F,"Off-Market on 12/14/2015 at $5,000",3 beds,2 baths,"1,400 ftsq"
#105,"Off-Market on 06/30/2017 at $3,600",2 beds,1 bath,
#106,"Off-Market on 11/13/2017 at $4,600",3 beds,1 bath,
#107,"Off-Market on 01/27/2016 at $3,400",2 beds,1 bath,
#108,"Off-Market on 09/27/2015 at $5,450",3 beds,1 bath,
#201,"Off-Market on 08/09/2017 at $4,700",3 beds,1 bath,
#202,"Off-Market on 06/05/2018 at $3,500",2 beds,1 bath,
#204,"Off-Market on 09/15/2017 at $4,600",3 beds,1 bath,
#205,"Off-Market on 05/31/2018 at $3,500",2 beds,1 bath,
#300,"Off-Market on 01/13/2018 at $3,200",2 beds,1 bath,
#301,"Off-Market on 10/18/2017 at $4,300",3 beds,1 bath,
#302,"Off-Market on 10/17/2017 at $3,400",2 beds,1 bath,
#303,"Off-Market on 04/30/2016 at $4,850",3 beds,1 bath,
#304,"Off-Market on 05/26/2016 at $4,600",3 beds,1 bath,
#30-5,Off-Market,,,
#305,"Off-Market on 11/22/2017 at $3,200",2 beds,1 bath,
#306,"Off-Market on 08/12/2016 at $4,750",3 beds,1 bath,
#307,"Off-Market on 12/18/2017 at $4,400",3 beds,1 bath,
#308,"Off-Market on 12/31/2017 at $3,200",2 beds,1 bath,
#399,"Off-Market on 07/17/2015 at $3,450",2 beds,1 bath,
#400,"Off-Market on 01/08/2018 at $4,100",3 beds,1 bath,
#401,"Off-Market on 09/16/2017 at $4,600",3 beds,1 bath,
#403,"Off-Market on 08/05/2016 at $4,800",3 beds,1 bath,
#404,"Off-Market on 08/09/2018 at $4,700",3 beds,1 bath,
#405,"Off-Market on 10/24/2018 at $3,500",2 beds,1 bath,
#40-6,Off-Market,,,
#406,"Off-Market on 11/28/2017 at $4,400",3 beds,1 bath,
#407,"Off-Market on 12/31/2017 at $4,100",3 beds,1 bath,
#409,"Off-Market on 07/03/2013 at $4,350",3 beds,1 bath,
#466,Off-Market,,,
#500,"Off-Market on 02/06/2018 at $3,400",2 beds,1 bath,
#501,"Off-Market on 07/12/2017 at $4,650",3 beds,1 bath,
#502,"Off-Market on 11/27/2017 at $3,400",2 beds,1 bath,
#503,"Off-Market on 10/17/2018 at $4,800",3 beds,1 bath,"1,000 ftsq"
#504,"Off-Market on 08/09/2017 at $4,675",3 beds,1 bath,
#505,"Off-Market on 04/08/2017 at $3,600",2 beds,1 bath,
#506,"Off-Market on 05/18/2018 at $4,795",3 beds,1 bath,
#507,"Off-Market on 02/20/2018 at $3,500",2 beds,1 bath,
#509,"Off-Market on 07/25/2016 at $4,500",3 beds,1 bath,
#518,"Off-Market on 09/27/2015 at $4,650",3 beds,1 bath,
#600,"Listed for rent at $3,500",2 beds,1 bath,
#602,"Off-Market on 04/28/2017 at $3,400",2 beds,1 bath,
#603,"Off-Market on 05/04/2016 at $4,700",3 beds,1 bath,
#604,"Off-Market on 09/20/2016 at $4,600",3 beds,1 bath,
#605,"Off-Market on 01/09/2019 at $3,500",2 beds,1 bath,
#1004,"Off-Market on 10/21/2013 at $4,950",2 beds,2 baths,
#4006,Off-Market,,,
#5011,"Off-Market on 07/13/2014 at $4,400",3 beds,1 bath,
